        nu  unc1  unc2 nu1' nu2' nu3' nu4' L3' L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"          E'        Calc'  Obs-Calc'          Source Method  BandMatch
7703.08476  0.01  0.01    1    1    1    0   1   0   3   2  s    E'   -5     0     0     0     0    0    0   2   1  s    E"    2 7759.023493  7758.941906   0.081587  16BaYuTeBe.434     CD       True
7643.48688  0.01  0.01    1    1    1    0   1   0   3   2  s    E'   -5     0     0     0     0    0    0   3   1  s    E"    2 7759.023511  7758.941906   0.081605  16BaYuTeBe.325     CD       True
7657.83843  0.01  0.01    1    1    1    0   1   0   3   0  s    E'   -6     0     0     0     0    0    0   3   1  s    E"    2 7773.375061  7773.282847   0.092214  16BaYuTeBe.346     CD       True
7717.43641  0.01  0.01    1    1    1    0   1   0   3   0  s    E'   -6     0     0     0     0    0    0   2   1  s    E"    2 7773.375143  7773.282847   0.092296  16BaYuTeBe.456     CD       True
7578.46911  0.01  0.01    1    1    1    0   1   0   3   0  s    E'   -6     0     0     0     0    0    0   4   1  s    E"    3 7773.375467  7773.282847   0.092620  16BaYuTeBe.194     CD       True
7601.88673  0.01  0.01    1    1    1    0   1   0   3   1  a    E'   -7     0     0     0     0    0    0   4   2  a    E"    2 7786.439787  7786.182724   0.257063  16BaYuTeBe.244     Br       True
7805.60439  0.01  0.01    0    1    2    0   2   0   3   3  a    E'   -8     0     0     0     0    0    0   4   4  a    E"    1 7945.767643  7945.549994   0.217649  16BaYuTeBe.638     Br       True
7841.46586  0.01  0.01    0    1    2    0   2   0   3   2  s    E'   -9     0     0     0     0    0    0   3   1  s    E"    2 7957.002491  7956.924934   0.077557  16BaYuTeBe.693     CD       True
7901.06394  0.01  0.01    0    1    2    0   2   0   3   2  s    E'   -9     0     0     0     0    0    0   2   1  s    E"    2 7957.002673  7956.924934   0.077739  16BaYuTeBe.773     CD       True
7913.18690  0.01  0.01    0    1    2    0   2   0   3   0  s    E'  -10     0     0     0     0    0    0   2   1  s    E"    2 7969.125633  7969.153346  -0.027713  16BaYuTeBe.778     CD       True
7853.58901  0.01  0.01    0    1    2    0   2   0   3   0  s    E'  -10     0     0     0     0    0    0   3   1  s    E"    2 7969.125641  7969.153346  -0.027705  16BaYuTeBe.712     CD       True
7774.21930  0.01  0.01    0    1    2    0   2   0   3   0  s    E'  -10     0     0     0     0    0    0   4   1  s    E"    3 7969.125657  7969.153346  -0.027689  16BaYuTeBe.573     CD       True
7928.38854  0.01  0.01    0    1    2    0   2   0   3   1  a    E'  -11     0     0     0     0    0    0   2   2  a    E"    1 7973.975820  7973.962077   0.013743  16BaYuTeBe.786     Br       True
8136.23018  0.01  0.01    2    0    0    1   0   1   3   3  a    E'  -12     0     0     0     0    0    0   2   2  a    E"    1 8181.817460  8183.435838  -1.618378 16BaYuTeBe.1080     Br       True
8141.97636  0.01  0.01    2    0    0    1   0   1   3   2  s    E'  -13     0     0     0     0    0    0   2   1  s    E"    2 8197.915093  8200.058438  -2.143345 16BaYuTeBe.1095     CD       True
8082.38438  0.01  0.01    2    0    0    1   0   1   3   2  s    E'  -13     0     0     0     0    0    0   3   1  s    E"    2 8197.921011  8200.058438  -2.137427  16BaYuTeBe.979     CD       True
8100.61041  0.01  0.01    2    0    0    1   0   1   3   1  a    E'  -14     0     0     0     0    0    0   3   2  a    E"    1 8205.794165  8207.546787  -1.752622 16BaYuTeBe.1019     Br       True
8155.89941  0.01  0.01    2    0    0    1   0   1   3   0  s    E'  -15     0     0     0     0    0    0   2   1  s    E"    2 8211.838143  8214.400601  -2.562458 16BaYuTeBe.1132     Br       True
8195.74877  0.01  0.01    1    0    1    1   1   1   3   1  a    E'  -16     0     0     0     0    0    0   2   1  s    E"    2 8251.687503  8253.781062  -2.093559 16BaYuTeBe.1238     Br       True
8160.08590  0.01  0.01    1    0    1    1   1   1   3   2  s    E'  -17     0     0     0     0    0    0   3   1  s    E"    2 8275.622531  8275.569376   0.053155 16BaYuTeBe.1147   CD_b       True
8080.72499  0.01  0.01    1    0    1    1   1   1   3   2  s    E'  -17     0     0     0     0    0    0   4   1  s    E"    3 8275.631347  8275.569376   0.061971  16BaYuTeBe.975   CD_b       True
8251.93716  0.01  0.01    1    0    1    1   1   1   3   0  s    E'  -18     0     0     0     0    0    0   2   2  a    E"    1 8297.524440  8297.387337   0.137103 16BaYuTeBe.1414     CD       True
8181.99322  0.01  0.01    1    0    1    1   1   1   3   0  s    E'  -18     0     0     0     0    0    0   3   1  s    E"    2 8297.529851  8297.387337   0.142514 16BaYuTeBe.1199     CD       True
8102.62371  0.01  0.01    1    0    1    1   1   1   3   0  s    E'  -18     0     0     0     0    0    0   4   1  s    E"    3 8297.530067  8297.387337   0.142730 16BaYuTeBe.1021     CD       True
8112.97717  0.01  0.01    1    0    1    1   1   1   3   0  s    E'  -18     0     0     0     0    0    0   4   2  a    E"    2 8297.530227  8297.387337   0.142890 16BaYuTeBe.1037     CD       True
8241.59220  0.01  0.01    1    0    1    1   1   1   3   0  s    E'  -18     0     0     0     0    0    0   2   1  s    E"    2 8297.530933  8297.387337   0.143596 16BaYuTeBe.1383     CD       True
8217.48729  0.01  0.01    1    0    0    3   0   1   3   3  a    E'  -19     0     0     0     0    0    0   3   2  a    E"    1 8322.671045  8321.959861   0.711184 16BaYuTeBe.1310     CD      False
8277.08737  0.01  0.01    1    0    0    3   0   1   3   3  a    E'  -19     0     0     0     0    0    0   2   2  a    E"    1 8322.674650  8321.959861   0.714789 16BaYuTeBe.1509     CD      False
8218.53648  0.01  0.01    1    0    0    3   0   1   3   0  s    E'  -20     0     0     0     0    0    0   3   1  s    E"    2 8334.073111  8333.223692   0.849419 16BaYuTeBe.1312   CD_b      False
8139.17977  0.01  0.01    1    0    0    3   0   1   3   0  s    E'  -20     0     0     0     0    0    0   4   1  s    E"    3 8334.086127  8333.223692   0.862435 16BaYuTeBe.1087   CD_b      False
8222.39307  0.01  0.01    1    0    0    3   0   1   3   2  s    E'  -21     0     0     0     0    0    0   4   4  a    E"    1 8362.556323  8363.283243  -0.726920 16BaYuTeBe.1328     CD      False
8306.62066  0.01  0.01    1    0    0    3   0   1   3   2  s    E'  -21     0     0     0     0    0    0   2   1  s    E"    2 8362.559393  8363.283243  -0.723850 16BaYuTeBe.1616     CD      False
8198.65656  0.01  0.01    1    0    0    3   0   1   3   1  a    E'  -22     0     0     0     0    0    0   4   2  a    E"    2 8383.209617  8381.630567   1.579050 16BaYuTeBe.1246     CD      False
8327.27219  0.01  0.01    1    0    0    3   0   1   3   1  a    E'  -22     0     0     0     0    0    0   2   1  s    E"    2 8383.210923  8381.630567   1.580356 16BaYuTeBe.1701     CD      False
8276.90737  0.01  0.01    1    2    0    2   0   2   3   0  s    E'  -23     0     0     0     0    0    0   3   1  s    E"    2 8392.444001  8395.175451  -2.731450 16BaYuTeBe.1508   CD_b      False
8207.90142  0.01  0.01    1    2    0    2   0   2   3   0  s    E'  -23     0     0     0     0    0    0   4   2  a    E"    2 8392.454477  8395.175451  -2.720974 16BaYuTeBe.1276   CD_b      False
8297.79510  0.01  0.01    1    0    1    1   1   1   3   1  a    E'  -24     0     0     0     0    0    0   3   2  a    E"    1 8402.978855  8404.506622  -1.527767 16BaYuTeBe.1580   CD_b      False
8357.40758  0.01  0.01    1    0    1    1   1   1   3   1  a    E'  -24     0     0     0     0    0    0   2   2  a    E"    1 8402.994860  8404.506622  -1.511762 16BaYuTeBe.1819   CD_b      False
8498.30007  0.01  0.01    0    0    2    1   2   1   3   2  s    E'  -25     0     0     0     0    0    0   2   2  a    E"    1 8543.887350  8540.539340   3.348010 16BaYuTeBe.2097     Br       True
8509.38793  0.01  0.01    0    0    2    1   2   1   3   2  s    E'  -26     0     0     0     0    0    0   2   2  a    E"    1 8554.975210  8553.969424   1.005786 16BaYuTeBe.2105     CD      False
8449.79164  0.01  0.01    0    0    2    1   2   1   3   2  s    E'  -26     0     0     0     0    0    0   3   2  a    E"    1 8554.975395  8553.969424   1.005971 16BaYuTeBe.2047     CD      False
8501.54395  0.01  0.01    0    0    2    1   2   1   3   1  a    E'  -27     0     0     0     0    0    0   2   1  s    E"    2 8557.482683  8559.181825  -1.699142 16BaYuTeBe.2098     CD       True
8417.32166  0.01  0.01    0    0    2    1   2   1   3   1  a    E'  -27     0     0     0     0    0    0   4   4  a    E"    1 8557.484913  8559.181825  -1.696912 16BaYuTeBe.1988     CD       True
8507.27683  0.01  0.01    0    0    2    1   2   1   3   1  a    E'  -28     0     0     0     0    0    0   2   1  s    E"    2 8563.215563  8562.145036   1.070527 16BaYuTeBe.2101     CD       True
8368.31124  0.01  0.01    0    0    2    1   2   1   3   1  a    E'  -28     0     0     0     0    0    0   4   1  s    E"    3 8563.217597  8562.145036   1.072561 16BaYuTeBe.1859     CD       True
8369.41494  0.01  0.01    0    0    2    1   2   1   3   3  a    E'  -29     0     0     0     0    0    0   4   1  s    E"    3 8564.321297  8562.145036   2.176261 16BaYuTeBe.1860     Br       True
8525.88257  0.01  0.01    0    0    2    1   2   1   3   0  s    E'  -30     0     0     0     0    0    0   2   1  s    E"    2 8581.821303  8582.455729  -0.634426 16BaYuTeBe.2118     Br      False
8478.50074  0.01  0.01    0    0    2    1   2   1   3   1  a    E'  -31     0     0     0     0    0    0   3   2  a    E"    1 8583.684495  8584.390879  -0.706384 16BaYuTeBe.2087     Br      False
7568.10885  0.01  0.01    1    1    0    2   0   2   4   1  s   A2"   -1     0     0     0     0    0    0   3   0  s   A2'    2 7687.346709  7681.193385   6.153324  16BaYuTeBe.178     Br       True
7611.03670  0.01  0.01    1    1    0    2   0   2   4   2  a   A2"   -2     0     0     0     0    0    0   3   0  s   A2'    2 7730.274559  7733.703136  -3.428577  16BaYuTeBe.262     CD      False
7564.18837  0.01  0.01    1    1    0    2   0   2   4   2  a   A2"   -2     0     0     0     0    0    0   4   3  a   A2'    1 7730.276273  7733.703136  -3.426863  16BaYuTeBe.174     CD      False
7646.56127  0.01  0.01    1    1    1    0   1   0   4   4  a   A2"   -3     0     0     0     0    0    0   4   3  a   A2'    1 7812.649173  7812.681530  -0.032357  16BaYuTeBe.331     Br      False
7680.06254  0.01  0.01    1    1    1    0   1   0   4   1  s   A2"   -4     0     0     0     0    0    0   4   3  a   A2'    1 7846.150443  7846.050956   0.099487  16BaYuTeBe.383     CD       True
7580.92461  0.01  0.01    1    1    1    0   1   0   4   1  s   A2"   -4     0     0     0     0    0    0   5   3  a   A2'    1 7846.151267  7846.050956   0.100311  16BaYuTeBe.197     CD       True
7726.91397  0.01  0.01    1    1    1    0   1   0   4   1  s   A2"   -4     0     0     0     0    0    0   3   0  s   A2'    2 7846.151829  7846.050956   0.100873  16BaYuTeBe.477     CD       True
7548.51012  0.01  0.01    1    1    1    0   1   0   4   1  s   A2"   -4     0     0     0     0    0    0   5   0  s   A2'    2 7846.151938  7846.050956   0.100982  16BaYuTeBe.153     CD       True
7687.43142  0.01  0.01    1    1    1    0   1   0   4   2  a   A2"   -5     0     0     0     0    0    0   4   3  a   A2'    1 7853.519323  7853.497310   0.022013  16BaYuTeBe.397     CD       True
7766.86163  0.01  0.01    1    1    1    0   1   0   4   2  a   A2"   -5     0     0     0     0    0    0   3   3  a   A2'    1 7853.519433  7853.497310   0.022123  16BaYuTeBe.554     CD       True
7588.29288  0.01  0.01    1    1    1    0   1   0   4   2  a   A2"   -5     0     0     0     0    0    0   5   3  a   A2'    1 7853.519537  7853.497310   0.022227  16BaYuTeBe.216     CD       True
7734.28205  0.01  0.01    1    1    1    0   1   0   4   2  a   A2"   -5     0     0     0     0    0    0   3   0  s   A2'    2 7853.519909  7853.497310   0.022599  16BaYuTeBe.489     CD       True
7555.87820  0.01  0.01    1    1    1    0   1   0   4   2  a   A2"   -5     0     0     0     0    0    0   5   0  s   A2'    2 7853.520018  7853.497310   0.022708  16BaYuTeBe.161     CD       True
7919.85457  0.01  0.01    0    1    2    0   2   0   4   2  a   A2"   -6     0     0     0     0    0    0   3   0  s   A2'    2 8039.092429  8039.052515   0.039914  16BaYuTeBe.781     CD       True
7952.43555  0.01  0.01    0    1    2    0   2   0   4   2  a   A2"   -6     0     0     0     0    0    0   3   3  a   A2'    1 8039.093353  8039.052515   0.040838  16BaYuTeBe.796     CD       True
7873.00594  0.01  0.01    0    1    2    0   2   0   4   2  a   A2"   -6     0     0     0     0    0    0   4   3  a   A2'    1 8039.093843  8039.052515   0.041328  16BaYuTeBe.747     CD       True
7778.33519  0.01  0.01    0    1    2    0   2   0   4   1  s   A2"   -7     0     0     0     0    0    0   5   3  a   A2'    1 8043.561847  8043.499801   0.062046  16BaYuTeBe.581     CD       True
7745.92040  0.01  0.01    0    1    2    0   2   0   4   1  s   A2"   -7     0     0     0     0    0    0   5   0  s   A2'    2 8043.562218  8043.499801   0.062417  16BaYuTeBe.509     CD       True
7924.32456  0.01  0.01    0    1    2    0   2   0   4   1  s   A2"   -7     0     0     0     0    0    0   3   0  s   A2'    2 8043.562419  8043.499801   0.062618  16BaYuTeBe.783     CD       True
8007.39655  0.01  0.01    2    0    0    1   0   1   4   2  a   A2"   -8     0     0     0     0    0    0   5   3  a   A2'    1 8272.623207  8273.873850  -1.250643  16BaYuTeBe.860     Br       True
8000.39768  0.01  0.01    2    0    0    1   0   1   4   1  s   A2"   -9     0     0     0     0    0    0   5   0  s   A2'    2 8298.039498  8300.445114  -2.405616  16BaYuTeBe.844     Br       True
8196.03927  0.01  0.01    1    0    0    3   0   1   4   4  a   A2"  -10     0     0     0     0    0    0   4   3  a   A2'    1 8362.127173  8361.404324   0.722849 16BaYuTeBe.1240   CD_b      False
8275.48728  0.01  0.01    1    0    0    3   0   1   4   4  a   A2"  -10     0     0     0     0    0    0   3   3  a   A2'    1 8362.145083  8361.404324   0.740759 16BaYuTeBe.1503   CD_b      False
8070.53112  0.01  0.01    1    0    1    1   1   1   4   2  a   A2"  -11     0     0     0     0    0    0   5   0  s   A2'    2 8368.172938  8368.234638  -0.061700  16BaYuTeBe.960     CD       True
8281.51576  0.01  0.01    1    0    1    1   1   1   4   2  a   A2"  -11     0     0     0     0    0    0   3   3  a   A2'    1 8368.173563  8368.234638  -0.061075 16BaYuTeBe.1524     CD       True
8202.08684  0.01  0.01    1    0    1    1   1   1   4   2  a   A2"  -11     0     0     0     0    0    0   4   3  a   A2'    1 8368.174743  8368.234638  -0.059895 16BaYuTeBe.1256     CD       True
8102.94811  0.01  0.01    1    0    1    1   1   1   4   2  a   A2"  -11     0     0     0     0    0    0   5   3  a   A2'    1 8368.174767  8368.234638  -0.059871 16BaYuTeBe.1023     CD       True
8074.44261  0.01  0.01    1    2    0    2   0   2   4   1  s   A2"  -12     0     0     0     0    0    0   5   0  s   A2'    2 8372.084428  8371.930881   0.153547  16BaYuTeBe.967     CD      False
8252.84666  0.01  0.01    1    2    0    2   0   2   4   1  s   A2"  -12     0     0     0     0    0    0   3   0  s   A2'    2 8372.084519  8371.930881   0.153638 16BaYuTeBe.1421     CD      False
8317.32272  0.01  0.01    1    0    1    1   1   1   4   4  a   A2"  -13     0     0     0     0    0    0   3   3  a   A2'    1 8403.980523  8403.996861  -0.016338 16BaYuTeBe.1670     CD       True
8237.89331  0.01  0.01    1    0    1    1   1   1   4   4  a   A2"  -13     0     0     0     0    0    0   4   3  a   A2'    1 8403.981213  8403.996861  -0.015648 16BaYuTeBe.1372     CD       True
8332.89987  0.01  0.01    1    0    0    3   0   1   4   2  a   A2"  -14     0     0     0     0    0    0   3   3  a   A2'    1 8419.557673  8419.876987  -0.319314 16BaYuTeBe.1717     CD      False
8253.47066  0.01  0.01    1    0    0    3   0   1   4   2  a   A2"  -14     0     0     0     0    0    0   4   3  a   A2'    1 8419.558563  8419.876987  -0.318424 16BaYuTeBe.1423     CD      False
8154.33382  0.01  0.01    1    0    0    3   0   1   4   2  a   A2"  -14     0     0     0     0    0    0   5   3  a   A2'    1 8419.560477  8419.876987  -0.316510 16BaYuTeBe.1128     CD      False
8154.18642  0.01  0.01    1    0    0    3   0   1   4   1  s   A2"  -15     0     0     0     0    0    0   5   0  s   A2'    2 8451.828238  8452.479613  -0.651375 16BaYuTeBe.1127     CD      False
8336.27856  0.01  0.01    0    0    2    1   2   1   4   3  s   A2"  -16     0     0     0     0    0    0   5   3  a   A2'    1 8601.505217  8598.257151   3.248066 16BaYuTeBe.1729     Br       True
8352.78400  0.01  0.01    0    0    2    1   2   1   4   3  s   A2"  -17     0     0     0     0    0    0   5   3  a   A2'    1 8618.010657  8616.894202   1.116455 16BaYuTeBe.1796     Br      False
8344.56553  0.01  0.01    0    0    2    1   2   1   4   0  a   A2"  -18     0     0     0     0    0    0   5   0  s   A2'    2 8642.207348  8641.753017   0.454331 16BaYuTeBe.1765     Br       True
8386.63617  0.01  0.01    0    0    2    1   2   1   4   1  s   A2"  -19     0     0     0     0    0    0   5   3  a   A2'    1 8651.862827  8652.575778  -0.712951 16BaYuTeBe.1926     Br      False
8490.99669  0.01  0.01    0    0    2    1   2   1   4   2  a   A2"  -20     0     0     0     0    0    0   4   3  a   A2'    1 8657.084593  8655.209588   1.875005 16BaYuTeBe.2093     CD      False
8391.85845  0.01  0.01    0    0    2    1   2   1   4   2  a   A2"  -20     0     0     0     0    0    0   5   3  a   A2'    1 8657.085107  8655.209588   1.875519 16BaYuTeBe.1937     CD      False
7494.78722  0.01  0.01    1    1    0    2   0   2   4   4  s   A2'   -1     0     0     0     0    0    0   5   3  s   A2"    1 7759.303877  7757.387704   1.916173   16BaYuTeBe.82   CD_b      False
7593.98656  0.01  0.01    1    1    0    2   0   2   4   4  s   A2'   -1     0     0     0     0    0    0   4   3  s   A2"    1 7759.317662  7757.387704   1.929958  16BaYuTeBe.230   CD_b      False
7519.14423  0.01  0.01    1    1    0    2   0   2   4   2  s   A2'   -2     0     0     0     0    0    0   5   3  s   A2"    1 7783.660887  7784.917005  -1.256118  16BaYuTeBe.116     CD      False
7584.37119  0.01  0.01    1    1    0    2   0   2   4   2  s   A2'   -2     0     0     0     0    0    0   4   0  a   A2"    2 7783.665127  7784.917005  -1.251878  16BaYuTeBe.201     CD      False
7528.34540  0.01  0.01    1    1    1    0   1   0   4   4  s   A2'   -3     0     0     0     0    0    0   5   3  s   A2"    1 7792.862057  7792.756119   0.105938  16BaYuTeBe.129     CD       True
7627.53154  0.01  0.01    1    1    1    0   1   0   4   4  s   A2'   -3     0     0     0     0    0    0   4   3  s   A2"    1 7792.862642  7792.756119   0.106523  16BaYuTeBe.293     CD       True
7750.58009  0.01  0.01    1    1    1    0   1   0   4   2  s   A2'   -4     0     0     0     0    0    0   3   3  s   A2"    1 7836.441671  7836.392032   0.049639  16BaYuTeBe.518     CD       True
7571.92504  0.01  0.01    1    1    1    0   1   0   4   2  s   A2'   -4     0     0     0     0    0    0   5   3  s   A2"    1 7836.441697  7836.392032   0.049665  16BaYuTeBe.183     CD       True
7671.11218  0.01  0.01    1    1    1    0   1   0   4   2  s   A2'   -4     0     0     0     0    0    0   4   3  s   A2"    1 7836.443282  7836.392032   0.051250  16BaYuTeBe.364     CD       True
7577.50432  0.01  0.01    1    1    0    2   0   2   4   1  a   A2'   -5     0     0     0     0    0    0   5   3  s   A2"    1 7842.020977  7841.328917   0.692060  16BaYuTeBe.192   CD_b      False
7642.73498  0.01  0.01    1    1    0    2   0   2   4   1  a   A2'   -5     0     0     0     0    0    0   4   0  a   A2"    2 7842.028917  7841.328917   0.700000  16BaYuTeBe.323   CD_b      False
7828.44140  0.01  0.01    0    1    2    0   2   0   4   4  s   A2'   -6     0     0     0     0    0    0   4   3  s   A2"    1 7993.772502  7993.345789   0.426713  16BaYuTeBe.673     Br       True
7765.64063  0.01  0.01    0    1    2    0   2   0   4   2  s   A2'   -7     0     0     0     0    0    0   5   3  s   A2"    1 8030.157287  8030.048066   0.109221  16BaYuTeBe.551     CD       True
7864.82667  0.01  0.01    0    1    2    0   2   0   4   2  s   A2'   -7     0     0     0     0    0    0   4   3  s   A2"    1 8030.157772  8030.048066   0.109706  16BaYuTeBe.733     CD       True
7944.29628  0.01  0.01    0    1    2    0   2   0   4   2  s   A2'   -7     0     0     0     0    0    0   3   3  s   A2"    1 8030.157861  8030.048066   0.109795  16BaYuTeBe.791     CD       True
7830.86490  0.01  0.01    0    1    2    0   2   0   4   2  s   A2'   -7     0     0     0     0    0    0   4   0  a   A2"    2 8030.158837  8030.048066   0.110771  16BaYuTeBe.676     CD       True
8185.61230  0.01  0.01    2    0    0    1   0   1   4   2  s   A2'   -8     0     0     0     0    0    0   3   3  s   A2"    1 8271.473881  8269.556992   1.916889 16BaYuTeBe.1210     CD      False
8006.95965  0.01  0.01    2    0    0    1   0   1   4   2  s   A2'   -8     0     0     0     0    0    0   5   3  s   A2"    1 8271.476307  8269.556992   1.919315  16BaYuTeBe.858     CD      False
8088.19756  0.01  0.01    2    0    0    1   0   1   4   1  a   A2'   -9     0     0     0     0    0    0   4   0  a   A2"    2 8287.491497  8289.558400  -2.066903  16BaYuTeBe.991     Br       True
8129.45381  0.01  0.01    1    0    1    1   1   1   4   3  a   A2'  -10     0     0     0     0    0    0   4   3  s   A2"    1 8294.784912  8292.894179   1.890733 16BaYuTeBe.1063   CD_b       True
8208.93012  0.01  0.01    1    0    1    1   1   1   4   3  a   A2'  -10     0     0     0     0    0    0   3   3  s   A2"    1 8294.791701  8292.894179   1.897522 16BaYuTeBe.1282   CD_b       True
8037.31904  0.01  0.01    1    0    1    1   1   1   4   4  s   A2'  -11     0     0     0     0    0    0   5   3  s   A2"    1 8301.835697  8301.849427  -0.013730  16BaYuTeBe.913     Br       True
8096.71473  0.01  0.01    1    0    0    3   0   1   4   4  s   A2'  -12     0     0     0     0    0    0   5   3  s   A2"    1 8361.231387  8361.105374   0.126013 16BaYuTeBe.1013     CD      False
8195.90037  0.01  0.01    1    0    0    3   0   1   4   4  s   A2'  -12     0     0     0     0    0    0   4   3  s   A2"    1 8361.231472  8361.105374   0.126098 16BaYuTeBe.1239     CD      False
8275.37038  0.01  0.01    1    0    0    3   0   1   4   4  s   A2'  -12     0     0     0     0    0    0   3   3  s   A2"    1 8361.231961  8361.105374   0.126587 16BaYuTeBe.1502     CD      False
8203.76624  0.01  0.01    1    0    1    1   1   1   4   2  s   A2'  -13     0     0     0     0    0    0   4   3  s   A2"    1 8369.097342  8372.106156  -3.008814 16BaYuTeBe.1261   CD_b      False
8283.24895  0.01  0.01    1    0    1    1   1   1   4   2  s   A2'  -13     0     0     0     0    0    0   3   3  s   A2"    1 8369.110531  8372.106156  -2.995625 16BaYuTeBe.1527   CD_b      False
8351.00740  0.01  0.01    1    2    0    2   0   2   4   4  s   A2'  -14     0     0     0     0    0    0   3   3  s   A2"    1 8436.868981  8436.972449  -0.103468 16BaYuTeBe.1791     CD      False
8271.54039  0.01  0.01    1    2    0    2   0   2   4   4  s   A2'  -14     0     0     0     0    0    0   4   3  s   A2"    1 8436.871492  8436.972449  -0.100957 16BaYuTeBe.1487     CD      False
8287.57203  0.01  0.01    1    0    0    3   0   1   4   1  a   A2'  -15     0     0     0     0    0    0   4   3  s   A2"    1 8452.903132  8452.133977   0.769155 16BaYuTeBe.1543     CD      False
8188.38889  0.01  0.01    1    0    0    3   0   1   4   1  a   A2'  -15     0     0     0     0    0    0   5   3  s   A2"    1 8452.905547  8452.133977   0.771570 16BaYuTeBe.1221     CD      False
8289.10673  0.01  0.01    1    0    0    3   0   1   4   2  s   A2'  -16     0     0     0     0    0    0   4   3  s   A2"    1 8454.437832  8454.714714  -0.276882 16BaYuTeBe.1552   CD_b      False
8189.92779  0.01  0.01    1    0    0    3   0   1   4   2  s   A2'  -16     0     0     0     0    0    0   5   3  s   A2"    1 8454.444447  8454.714714  -0.270267 16BaYuTeBe.1224   CD_b      False
8306.88006  0.01  0.01    1    2    0    2   0   2   4   2  s   A2'  -17     0     0     0     0    0    0   4   3  s   A2"    1 8472.211162  8472.249769  -0.038607 16BaYuTeBe.1618     Br      False
8532.31024  0.01  0.01    0    0    2    1   2   1   4   3  a   A2'  -18     0     0     0     0    0    0   3   3  s   A2"    1 8618.171821  8618.478380  -0.306559 16BaYuTeBe.2124   CD_b      False
8353.67339  0.01  0.01    0    0    2    1   2   1   4   3  a   A2'  -18     0     0     0     0    0    0   5   3  s   A2"    1 8618.190047  8618.478380  -0.288333 16BaYuTeBe.1799   CD_b      False
8391.83415  0.01  0.01    0    0    2    1   2   1   4   2  s   A2'  -19     0     0     0     0    0    0   5   3  s   A2"    1 8656.350807  8651.561274   4.789533 16BaYuTeBe.1936   CD_b       True
8457.06602  0.01  0.01    0    0    2    1   2   1   4   2  s   A2'  -19     0     0     0     0    0    0   4   0  a   A2"    2 8656.359957  8651.561274   4.798683 16BaYuTeBe.2059   CD_b       True
7512.27266  0.01  0.01    1    1    0    2   0   2   4   2  a    E"   -1     0     0     0     0    0    0   4   1  a    E'    3 7707.883981  7701.871691   6.012290  16BaYuTeBe.103     CD       True
7591.60857  0.01  0.01    1    1    0    2   0   2   4   2  a    E"   -1     0     0     0     0    0    0   3   1  a    E'    2 7707.886865  7701.871691   6.015174  16BaYuTeBe.223     CD       True
7634.62151  0.01  0.01    1    1    0    2   0   2   4   3  s    E"   -2     0     0     0     0    0    0   3   2  s    E'    1 7739.043598  7734.239435   4.804163  16BaYuTeBe.306   CD_b      False
7532.96498  0.01  0.01    1    1    0    2   0   2   4   3  s    E"   -2     0     0     0     0    0    0   5   5  a    E'    1 7739.052460  7734.239435   4.813025  16BaYuTeBe.133   CD_b      False
7488.28034  0.01  0.01    1    1    0    2   0   2   4   1  s    E"   -3     0     0     0     0    0    0   5   2  s    E'    3 7771.217539  7768.323045   2.894494   16BaYuTeBe.74     CD      False
7587.39178  0.01  0.01    1    1    0    2   0   2   4   1  s    E"   -3     0     0     0     0    0    0   4   2  s    E'    2 7771.220891  7768.323045   2.897846  16BaYuTeBe.212     CD      False
7687.84872  0.01  0.01    1    1    0    2   0   2   4   0  a    E"   -4     0     0     0     0    0    0   3   1  a    E'    2 7804.127015  7803.563106   0.563909  16BaYuTeBe.398     CD      False
7509.49737  0.01  0.01    1    1    0    2   0   2   4   0  a    E"   -4     0     0     0     0    0    0   5   1  a    E'    4 7804.127426  7803.563106   0.564320  16BaYuTeBe.100     CD      False
7605.33232  0.01  0.01    1    1    1    0   1   0   4   4  a    E"   -5     0     0     0     0    0    0   5   5  a    E'    1 7811.419800  7811.398177   0.021623  16BaYuTeBe.252     Br       True
7535.32677  0.01  0.01    1    1    1    0   1   0   4   3  s    E"   -6     0     0     0     0    0    0   5   2  s    E'    3 7818.263969  7818.166924   0.097045  16BaYuTeBe.137     CD       True
7713.84292  0.01  0.01    1    1    1    0   1   0   4   3  s    E"   -6     0     0     0     0    0    0   3   2  s    E'    1 7818.265008  7818.166924   0.098084  16BaYuTeBe.450     CD       True
7634.43761  0.01  0.01    1    1    1    0   1   0   4   3  s    E"   -6     0     0     0     0    0    0   4   2  s    E'    2 7818.266721  7818.166924   0.099797  16BaYuTeBe.305     CD       True
7743.24571  0.01  0.01    1    1    1    0   1   0   4   1  s    E"   -7     0     0     0     0    0    0   3   2  s    E'    1 7847.667798  7848.043888  -0.376090  16BaYuTeBe.505     Br       True
7657.78673  0.01  0.01    1    1    1    0   1   0   4   2  a    E"   -8     0     0     0     0    0    0   4   1  a    E'    3 7853.398051  7853.304007   0.094044  16BaYuTeBe.345     CD       True
7558.76879  0.01  0.01    1    1    1    0   1   0   4   2  a    E"   -8     0     0     0     0    0    0   5   1  a    E'    4 7853.398846  7853.304007   0.094839  16BaYuTeBe.166     CD       True
