        nu  unc1  unc2 nu1' nu2' nu3' nu4' L3' L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"          E'        Calc'  Obs-Calc'          Source Method  BandMatch
8180.63302  0.01  0.01    1    0    1    1   1   1   1   0  a    E"   -6     0     0     0     0    0    0   1   1  a    E'    1 8197.596376  8196.870729   0.725647 16BaYuTeBe.1194     Br       True
8261.22073  0.01  0.01    1    0    0    3   0   1   1   0  a    E"   -7     0     0     0     0    0    0   1   1  a    E'    1 8278.184086  8277.133009   1.051077 16BaYuTeBe.1452     Br      False
8448.05505  0.01  0.01    0    0    2    1   2   1   1   1  s    E"   -8     0     0     0     0    0    0   1   1  a    E'    1 8465.018406  8465.221801  -0.203395 16BaYuTeBe.2045     Br      False
8426.75203  0.01  0.01    0    0    2    1   2   1   1   0  a    E"   -9     0     0     0     0    0    0   2   1  a    E'    2 8483.461257  8479.557009   3.904248 16BaYuTeBe.2009     Br      False
7577.11572  0.01  0.01    1    1    0    2   0   2   1   0  s    E'   -1     0     0     0     0    0    0   1   1  s    E"    1 7593.288713  7588.139030   5.149683  16BaYuTeBe.191   CD_b      False
7537.36836  0.01  0.01    1    1    0    2   0   2   1   0  s    E'   -1     0     0     0     0    0    0   2   1  s    E"    2 7593.307093  7588.139030   5.168063  16BaYuTeBe.141   CD_b      False
7659.98202  0.01  0.01    1    1    1    0   1   0   1   0  s    E'   -2     0     0     0     0    0    0   1   1  s    E"    1 7676.155013  7676.071980   0.083033  16BaYuTeBe.353     CD       True
7620.21636  0.01  0.01    1    1    1    0   1   0   1   0  s    E'   -2     0     0     0     0    0    0   2   1  s    E"    2 7676.155093  7676.071980   0.083113  16BaYuTeBe.280     CD       True
7644.31877  0.01  0.01    1    1    1    0   1   0   1   1  a    E'   -3     0     0     0     0    0    0   2   2  a    E"    1 7689.906050  7689.410030   0.496020  16BaYuTeBe.327     Br       True
7817.59554  0.01  0.01    0    1    2    0   2   0   1   0  s    E'   -4     0     0     0     0    0    0   2   1  s    E"    2 7873.534273  7873.447529   0.086744  16BaYuTeBe.656     CD       True
7857.36160  0.01  0.01    0    1    2    0   2   0   1   0  s    E'   -4     0     0     0     0    0    0   1   1  s    E"    1 7873.534593  7873.447529   0.087064  16BaYuTeBe.718     CD       True
7833.34639  0.01  0.01    0    1    2    0   2   0   1   1  a    E'   -5     0     0     0     0    0    0   2   2  a    E"    1 7878.933670  7878.933204   0.000466  16BaYuTeBe.680     Br       True
8057.64087  0.01  0.01    2    0    0    1   0   1   1   1  a    E'   -6     0     0     0     0    0    0   2   2  a    E"    1 8103.228150  8105.092014  -1.863864  16BaYuTeBe.941     Br       True
8091.13865  0.01  0.01    2    0    0    1   0   1   1   0  s    E'   -7     0     0     0     0    0    0   1   1  s    E"    1 8107.311643  8109.471578  -2.159935 16BaYuTeBe.1003     Br       True
8139.33257  0.01  0.01    1    0    1    1   1   1   1   0  s    E'   -8     0     0     0     0    0    0   2   1  s    E"    2 8195.271303  8195.197979   0.073324 16BaYuTeBe.1088     CD      False
8179.09853  0.01  0.01    1    0    1    1   1   1   1   0  s    E'   -8     0     0     0     0    0    0   1   1  s    E"    1 8195.271523  8195.197979   0.073544 16BaYuTeBe.1188     CD      False
8218.77698  0.01  0.01    1    0    0    3   0   1   1   0  s    E'   -9     0     0     0     0    0    0   2   1  s    E"    2 8274.715713  8272.736058   1.979655 16BaYuTeBe.1315     Br      False
8233.91583  0.01  0.01    1    0    0    3   0   1   1   1  a    E'  -10     0     0     0     0    0    0   2   2  a    E"    1 8279.503110  8281.271582  -1.768472 16BaYuTeBe.1359     Br      False
8250.20737  0.01  0.01    1    0    1    1   1   1   1   1  a    E'  -11     0     0     0     0    0    0   2   1  s    E"    2 8306.146103  8306.047425   0.098678 16BaYuTeBe.1407   CD_b      False
8289.99112  0.01  0.01    1    0    1    1   1   1   1   1  a    E'  -11     0     0     0     0    0    0   1   1  s    E"    1 8306.164113  8306.047425   0.116688 16BaYuTeBe.1557   CD_b      False
8409.44989  0.01  0.01    0    0    2    1   2   1   1   1  a    E'  -12     0     0     0     0    0    0   2   1  s    E"    2 8465.388623  8463.886109   1.502514 16BaYuTeBe.1974     Br       True
8427.07143  0.01  0.01    0    0    2    1   2   1   1   0  s    E'  -13     0     0     0     0    0    0   2   1  s    E"    2 8483.010163  8479.593007   3.417156 16BaYuTeBe.2010     Br      False
7626.54914  0.01  0.01    1    1    0    2   0   2   2   2  a   A2"   -1     0     0     0     0    0    0   1   0  s   A2'    1 7646.439026  7640.902541   5.536485  16BaYuTeBe.289     Br      False
7591.64947  0.01  0.01    1    1    1    0   1   0   2   1  s   A2"   -2     0     0     0     0    0    0   3   0  s   A2'    2 7710.887329  7710.797425   0.089904  16BaYuTeBe.224     CD       True
