nu1' nu2' nu3' L3' nu4' L4' J' K' GammaRot Gammatot Eobs Calc' obs–calc CD
2 0 2 2 0 0 s 4 1 E" E" 12824.5018 12820.9249 3.5769 -0.0084
2 0 2 2 0 0 s 4 2 E' A2' 12808.7399 12808.9749 -0.2350 -0.0002
2 0 2 2 0 0 s 5 2 E' A2' 12897.9974 12899.8843 -1.8869 -0.0011
2 0 2 2 0 0 s 5 3 A2" E" 12885.2737 12888.3453 -3.0716 -0.0044
2 0 2 2 0 0 s 5 4 E' E' 12857.8481 12861.7550 -3.9069 0.0060
2 0 2 2 0 0 s 5 5 E" A2" 12825.6466 12828.9782 -3.3316 0.0074
2 0 2 2 0 0 s 6 4 E' E' 12975.9378 12976.1006 -0.1628 0.0010
2 0 2 2 0 0 s 6 6 A2' E' 12941.7937 12940.5317 1.2620 -0.0002
2 0 2 2 0 0 s 7 7 E" A2" 13022.6494 13026.3872 -3.7378 -0.0036
2 1 2 2 0 0 a 1 1 E" A2' 12650.1021 12650.9560 -0.8539 -0.0026
2 1 2 2 0 0 a 2 0 A1' E" 12695.4938 12694.6709 2.0365 -0.0047
2 1 2 2 0 0 a 2 1 E" E' 12687.8105 12689.7044 1.6588 0.0113
2 1 2 2 0 0 a 2 2 E' E" 12682.9105 12678.7430 4.1675 -0.0070
2 1 2 2 0 0 a 3 1 E" A2' 12744.1854 12746.5713 -2.3859 0.0131
2 1 2 2 0 0 a 3 2 E' A2" 12735.7747 12738.1795 -2.4048 0.0046
2 1 2 2 0 0 a 3 3 A2' E' 12764.7351 12768.9027 -4.1677 -0.0002
2 1 2 2 0 0 a 4 2 E' A2" 12809.9641 12811.3267 -1.3626 0.0030
2 1 2 2 0 0 a 4 4 E' E" 12771.9820 12771.6080 0.3740 0.0078
2 1 2 2 0 0 a 5 3 A1" E' 12890.6489 12891.0609 -0.4120 -0.0091
2 1 2 2 0 0 a 5 5 E" E' 12835.8205 12834.8273 0.9932 0.0119
2 1 2 2 0 0 a 6 2 E' A2" 13016.9328 13016.5572 0.3756 -0.0034
2 1 2 2 0 0 a 6 6 A2' E" 12953.7506 12952.3551 1.3955 0.0069
2 1 2 2 0 0 a 7 7 E" A2' 12993.2624 12995.3526 -2.0902 0.0119
1 0 3 1 0 0 s 2 1 E" A2" 12734.2126 12737.6518 -3.4392 0.0076
1 0 3 1 0 0 s 2 2 E' E' 12719.3683 12720.7418 -1.3735 0.0108
1 0 3 1 0 0 s 3 1 E" E" 12742.5677 12745.0609 -2.4932 0.0054
1 0 3 1 0 0 s 4 0 A1' E' 12824.2547 12827.0713 -2.8166 -0.0044
1 0 3 1 0 0 s 4 1 E" A2" 12882.7271 12884.3506 -1.6235 0.0087
1 0 3 1 0 0 s 4 3 A1" E" 12854.9341 12856.2817 -1.3476 -0.0009
1 0 3 1 0 0 s 4 4 E' A2' 12806.3400 12806.7780 -0.4380 0.0047
1 0 3 1 0 0 s 5 4 E' A2' 12910.6805 12913.6014 -2.9209 -0.0097
1 0 3 1 0 0 s 5 5 E" E" 12865.5993 12868.2540 -2.6547 -0.0107
1 0 3 1 0 0 s 6 4 E' A2' 12980.7688 12982.1619 -1.3931 0.0080
1 0 3 1 0 0 s 6 5 E" A2" 12946.2953 12944.6633 1.6320 0.0006
1 0 3 1 0 0 s 7 5 E" E" 13073.8825 13075.3003 -1.4178 0.0021
1 1 3 1 0 0 a 2 1 E" A2' 12691.7132 12691.7132 -3.0945
1 0 3 3 0 0 s 6 6 A2' A2' 12948.6537 12947.7858 0.8679 0.0011
0 0 4 2 0 0 s 2 1 E" E" 12746.1781 12743.4163 2.7618 -0.0104
0 0 4 2 0 0 s 2 2 E' A2' 12729.1539 12730.9886 -1.8347 0.0020
0 0 4 2 0 0 s 3 1 E" A2" 12807.3727 12804.3376 3.0351
0 0 4 2 0 0 s 4 4 E' A2' 12805.4602 12807.4511 -1.9909 0.0006
0 1 4 2 0 0 a 2 1 E" A2' 12746.8972 12746.7285 0.1687
0 1 4 2 0 0 a 3 1 E" E' 12747.3957 12749.1734 -1.7777 0.0096
0 1 4 2 0 0 a 4 4 E' A2" 12814.1741 12817.6458 -3.4717 0.0167
0 1 4 2 0 0 a 5 2 E' A2" 12910.2687 12912.3785 -2.1098 -0.0069
0 1 4 2 0 0 a 6 5 E" A2' 12953.1030 12955.3025 -2.1995 0.0129
0 0 4 4 0 0 s 3 2 E' A2' 12792.5847 12789.2593 3.3254 -0.0084
0 0 4 4 0 0 s 6 5 E" E" 12946.4735 12947.0277 -0.5542 0.0080
0 1 4 4 0 0 a 1 1 E" A2' 12704.1513 12706.8491 -2.6978 -0.0095
0 1 4 4 0 0 a 2 2 E' E" 12733.4999 12732.4950 1.0049 0.0093
0 1 4 4 0 0 a 3 2 E' A2" 12804.9187 12802.8907 2.0280 -0.0009
0 1 4 4 0 0 a 5 4 E' A2" 12925.7941 12923.4206 2.3735 0.0011
0 1 4 4 0 0 a 5 5 E" E' 12875.8187 12878.6184 -2.7997 -0.0033
