        nu          int  J'  K' Gamma' <-  J"  K" Gamma"      Calc' <-'    Calc"     nuCalc  v1'  v2'  v3'  v4'  v5'  v6' <-''  v1"  v2"  v3"  v4"  v5"  v6"          Int  nu1'  nu2'  nu3'  nu4'  L3'  L4' inv'      Eobs'
12539.6971 1.270000e-24   3   2     E' <-   4   1     E" 12730.8776  <- 194.9083 12535.9694    0    0    4    0    0    0   <-    0    0    0    0    0    0 1.050000e-24   2.0   0.0   2.0   0.0  2.0  0.0    s 12734.5993
12540.4619 3.900000e-25   5   5     E" <-   6   5     E' 12868.2540  <- 325.1263 12543.1277    0    0    4    0    0    0   <-    0    0    0    0    0    1 1.600000e-25   1.0   0.0   3.0   0.0  1.0  0.0    s 12865.5993
12541.3243 8.020000e-25   3   2     E" <-   4   1     E' 12736.8809  <- 195.6149 12541.2660    0    0    4    0    0    1   <-    0    0    0    0    0    1 1.100000e-24   3.0   1.0   1.0   0.0  1.0  0.0    a 12736.9306
12541.3243 8.020000e-25   4   0     E' <-   5   2     E" 12822.6577  <- 283.6202 12539.0375    0    0    4    0    0    0   <-    0    0    0    0    0    1 2.850000e-25   3.0   0.0   1.0   0.0  1.0  0.0    s 12824.9357
12541.5738 6.000000e-25   4   1     E" <-   5   2     E' 12820.9249  <- 282.9391 12537.9857    0    0    4    0    0    0   <-    0    0    0    0    0    0 8.930000e-25   2.0   0.0   2.0   0.0  2.0  0.0    s 12824.5018
12541.8348 4.480000e-25   4   4    A2' <-   5   3    A2" 12806.7780  <- 264.5172 12542.2608    0    0    4    0    0    0   <-    0    0    0    0    0    0 1.060000e-25   1.0   0.0   3.0   0.0  1.0  0.0    s 12806.3400
12542.0723 6.680000e-24   5   5    A2" <-   6   6    A2' 12828.9782  <- 283.5690 12545.4092    0    0    4    0    0    0   <-    0    0    0    0    0    0 1.160000e-23   2.0   0.0   2.0   0.0  2.0  0.0    s 12825.6466
12543.8641 3.500000e-24   3   1    A2' <-   4   0    A2" 12741.6482  <- 199.2978 12542.3504    0    0    4    0    0    1   <-    0    0    0    0    0    1 1.490000e-24   3.0   1.0   1.0   0.0  1.0  0.0    a 12743.1572
12544.2233 6.550000e-24   4   2    A2' <-   5   3    A2" 12808.9749  <- 264.5172 12544.4576    0    0    4    0    0    0   <-    0    0    0    0    0    0 4.470000e-24   2.0   0.0   2.0   0.0  2.0  0.0    s 12808.7399
12544.7375 3.720000e-24   4   2    A2" <-   5   3    A2' 12811.3267  <- 265.2288 12546.0979    0    0    4    0    0    1   <-    0    0    0    0    0    1 3.860000e-24   2.0   1.0   2.0   0.0  2.0  0.0    a 12809.9641
