C.1	C.2       	C.3       	C.4       	C.5                 	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32
1	4714.34929	          	3.2274E-24	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	13	8	3	2	105	0	0	0	0	0	0	0	1	12	9	5	5	2
1	4714.40991	   0.00003	4.9860E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	9	9	4	6	174	0	0	0	0	0	0	0	1	10	8	3	3	2
	4714.58975	          	5.4856E-25																												
1	4714.67659	   0.00001	1.0591E-24	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	11	10	3	2	113	0	0	0	0	0	0	0	1	12	9	5	5	2
1	4714.78344	   0.00008	3.8569E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	9	9	4	3	174	0	0	0	0	0	0	1	5	10	8	3	6	2
	4714.83144	          	1.4688E-25																												
	4714.96003	          	1.1591E-25																												
	4714.98319	          	3.0575E-25																												
1	4715.08748	          	1.3789E-24	0110_10_aE"<-0000   	1	0	1	1	0	1	0	1	6	13	7	6	3	210	0	0	0	0	0	0	1	5	12	8	3	6	3
	4715.18786	          	5.8053E-25																												
	4715.45181	          	7.3241E-25																												
	4715.56081	          	2.5280E-25																												
	4715.85308	          	2.6079E-25																												
	4715.87619	          	2.4580E-25																												
1	4716.19809	   0.00006	4.3365E-25	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	13	7	6	5	155	0	0	0	0	0	0	0	1	14	6	2	2	3
	4716.24036	          	2.0484E-24																												
1	4716.32944	          	6.5447E-25	1100_00_aA2"<-0000  	1	1	1	0	0	0	0	1	5	12	7	6	3	176	0	0	0	0	0	0	1	5	11	10	3	6	2
	4716.35598	          	2.8277E-24																												
1	4716.38757	   0.00075	1.2890E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	9	4	3	6	217	0	0	0	0	0	0	0	1	10	2	3	3	6
1	4716.44207	          	1.2390E-24	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	12	10	3	3	168	0	0	0	0	0	0	0	1	11	11	6	6	1
	4716.52704	          	2.3581E-25																												
	4716.54005	          	2.1483E-24																												
	4716.57539	          	1.2690E-25																												
1	4716.64302	   0.00042	1.5188E-24	0202_00_sA1'<-0000  	1	0	2	0	2	0	0	0	1	1	1	6	6	27	0	0	0	0	0	0	1	5	2	1	6	3	2
	4716.78589	          	2.3081E-25																												
	4716.83221	          	1.2990E-25																												
	4716.87804	          	1.3589E-25																												
	4717.34878	          	5.1558E-24																												
1	4717.43256	   0.00021	3.5971E-24	0202_00_sA1'<-0000  	1	0	2	0	2	0	0	0	1	1	0	2	2	19	0	0	0	0	0	0	1	5	2	0	1	5	1
	4717.71905	          	2.4980E-25																												
	4717.73914	          	1.9085E-25																												
	4717.94437	          	1.0492E-24																												
	4718.00037	          	4.9860E-25																												
1	4718.09137	   0.00057	7.5140E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	10	7	6	2	105	0	0	0	0	0	0	1	5	11	6	1	5	2
1	4718.15059	   0.00016	7.7038E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	10	7	6	5	114	0	0	0	0	0	0	0	1	11	6	2	2	2
1	4718.55944	   0.00024	1.6387E-24	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	9	4	3	2	117	0	0	0	0	0	0	1	5	10	0	1	5	4
1	4718.66872	          	8.8329E-25	0102_02_sE'<-0000   	1	0	1	0	2	0	2	0	3	13	5	6	6	194	0	0	0	0	0	0	0	1	12	10	3	3	2
1	4718.88202	   0.00036	2.4780E-24	0003_03_sA1'<-0000  	1	0	0	0	3	0	3	0	1	6	3	5	5	72	0	0	0	0	0	0	0	1	7	0	2	2	3
	4718.97820	          	3.7770E-25																												
1	4719.15706	          	5.4956E-25	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	14	7	6	6	229	0	0	0	0	0	0	0	1	13	8	3	3	4
	4719.32051	          	8.3932E-25																												
	4719.36081	          	1.6487E-25																												
1	4719.58015	   0.00174	1.6487E-25	0310_10_sE'<-0100   	1	0	3	1	0	1	0	0	3	7	3	5	6	255	0	1	0	0	0	0	0	1	8	2	3	3	11
	4719.93555	          	2.0384E-24																												
	4720.05005	          	1.1990E-24																												
	4720.18278	          	2.6878E-25																												
	4720.36002	          	6.5847E-25																												
1	4720.47149	   0.00101	4.8261E-25	0011_11_aE"<-0000   	1	0	0	1	1	1	1	1	6	12	8	3	6	268	0	0	0	0	0	0	1	5	13	7	6	3	5
	4720.54862	          	6.5947E-25																												
	4720.75619	          	2.7178E-25																												
1	4720.79105	   0.00016	7.8537E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	9	4	3	2	118	0	0	0	0	0	0	1	5	10	0	1	5	4
	4720.87219	          	3.2374E-25																												
	4720.93597	          	1.4688E-24																												
	4721.34454	          	3.5771E-25																												
	4721.64762	          	4.6563E-25																												
	4721.68130	          	1.7486E-25																												
	4721.72102	          	1.8785E-24																												
1	4722.13887	   0.00021	2.0683E-25	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	13	4	3	2	178	0	0	0	0	0	0	0	1	14	3	5	5	4
	4722.37330	          	1.7486E-25																												
	4722.40511	          	4.5164E-25																												
	4722.45694	          	3.9568E-25																												
1	4722.48357	   0.00036	5.6455E-25	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	12	8	3	3	273	0	0	0	0	0	0	0	1	13	7	6	6	5
1	4722.59594	   0.00049	3.4372E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	10	6	2	3	230	0	0	0	0	0	0	0	1	11	5	6	6	5
1	4722.80575	          	2.7977E-24	0110_10_aE"<-0000   	1	0	1	1	0	1	0	1	6	13	8	3	5	97	0	0	0	0	0	0	1	5	12	9	4	2	2
1	4722.89639	   0.00028	1.2990E-25	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	11	9	5	6	241	0	0	0	0	0	0	1	5	12	7	6	3	4
1	4722.97088	   0.00092	3.1075E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	10	6	1	6	231	0	0	0	0	0	0	1	5	11	5	6	3	5
1	4723.01910	          	2.6978E-25	1100_00_aA2"<-0000  	1	1	1	0	0	0	0	1	5	13	7	6	3	190	0	0	0	0	0	0	1	5	12	10	3	6	2
	4723.18150	          	3.8969E-24																												
	4723.58769	          	2.6878E-25																												
1	4723.66277	          	1.9584E-24	0110_10_aE"<-0000   	1	0	1	1	0	1	0	1	6	12	9	5	3	177	0	0	0	0	0	0	1	5	11	10	3	6	2
	4723.70902	          	1.6387E-25																												
	4723.74605	          	1.9384E-25																												
1	4723.81726	   0.00039	9.1227E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	9	8	3	3	180	0	0	0	0	0	0	0	1	10	7	6	6	3
1	4723.90660	   0.00009	8.7330E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	9	8	3	6	181	0	0	0	0	0	0	1	5	10	7	6	3	3
	4724.00788	          	7.7937E-25																												
	4724.04427	          	3.2774E-25																												
	4724.10021	          	7.7837E-25																												
	4724.23665	          	9.5223E-25																												
	4724.43615	          	4.5963E-25																												
1	4724.64454	   0.00143	4.6662E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	13	11	6	5	119	0	0	0	0	0	0	0	1	14	12	2	2	1
1	4724.74974	   0.00003	2.6778E-24	0003_03_sA2'<-0000  	1	0	0	0	3	0	3	0	2	4	3	4	5	47	0	0	0	0	0	0	1	5	5	3	4	2	1
	4724.80198	          	6.5747E-25																												
	4725.04856	          	6.6447E-25																												
	4725.23528	          	2.5479E-24																												
	4725.30613	          	4.6063E-25																												
	4725.62338	          	2.1483E-25																												
1	4725.76026	   0.00013	7.7737E-25	0011_11_aE"<-0000   	1	0	0	1	1	1	1	1	6	11	9	5	3	230	0	0	0	0	0	0	1	5	12	8	3	6	3
	4725.85748	          	9.3924E-25																												
