ν1	ν2	ν3	ν4	L3	L4	J	K	i	Γ	Nb	E (cm-1)	δ (cm-1)	Transitions
0	0	0	0	0	0	8	1	s	E"	6	707.4451436	3.00E-04	267
0	0	0	0	0	0	8	1	a	E'	6	707.9532696	2.83E-04	261
0	0	0	0	0	0	9	7	s	E"	2	710.0631139	3.01E-04	219
0	0	0	0	0	0	9	7	a	E'	2	710.7547739	3.17E-04	231
0	0	0	0	0	0	8	0	a	A2"	3	711.559808	2.83E-04	230
0	0	0	0	0	0	10	10	s	E'	1	719.3859466	3.19E-04	119
0	0	0	0	0	0	10	10	a	E"	1	720.3400976	3.34E-04	123
0	0	0	0	0	0	9	6	s	A2'	2	757.5918927	3.01E-04	269
0	0	0	0	0	0	9	6	a	A2"	2	758.2089656	3.17E-04	299
0	0	0	0	0	0	10	9	s	A2"	1	789.8875864	3.17E-04	195
0	0	0	0	0	0	10	9	a	A2'	1	790.6949876	3.32E-04	209
0	0	0	0	0	0	9	5	s	E"	3	797.5812173	3.01E-04	228
0	0	0	0	0	0	9	5	a	E'	3	798.1415423	3.17E-04	234
0	0	0	0	0	0	9	4	s	E'	4	830.1468906	3.17E-04	221
0	0	0	0	0	0	9	4	a	E"	4	830.6647126	3.01E-04	223
0	0	0	0	0	0	10	8	s	E'	2	852.4180939	3.18E-04	169
0	0	0	0	0	0	10	8	a	E"	2	853.1136589	3.33E-04	176
0	0	0	0	0	0	9	3	s	A2"	3	855.3854682	3.17E-04	274
0	0	0	0	0	0	9	3	a	A2'	3	855.8650272	3.01E-04	275
0	0	0	0	0	0	11	11	s	E"	1	859.2076281	3.35E-04	87
0	0	0	0	0	0	11	11	a	E'	1	860.2054681	3.48E-04	101
0	0	0	0	0	0	9	2	s	E'	5	873.356965	3.17E-04	232
0	0	0	0	0	0	9	2	a	E"	5	873.823108	3.01E-04	221
0	0	0	0	0	0	9	1	s	E"	6	884.1222659	3.01E-04	188
0	0	0	0	0	0	9	1	a	E'	6	884.576318	3.17E-04	202
0	0	0	0	0	0	9	0	s	A2'	4	887.7074201	3.01E-04	176
0	0	0	0	0	0	10	7	s	E"	3	907.1718464	3.33E-04	169
0	0	0	0	0	0	10	7	a	E'	3	907.7817824	3.17E-04	172
0	0	0	0	0	0	11	10	s	E'	2	937.1650773	3.49E-04	118
0	0	0	0	0	0	11	10	a	E"	2	937.9950493	3.35E-04	132
0	1	0	0	0	0	1	1	s	E"	2	947.7977333	1.74E-04	81
0	1	0	0	0	0	1	0	s	A2'	2	951.776242	1.41E-04	62
0	0	0	0	0	0	10	6	s	A2'	2	954.3130657	3.32E-04	220
0	0	0	0	0	0	10	6	a	A2"	2	954.8574196	3.17E-04	224
0	1	0	0	0	0	0	0	a	A2"	2	967.3285579	1.02E-04	35
0	1	0	0	0	0	2	2	s	E'	3	976.1272027	2.00E-04	91
0	1	0	0	0	0	1	1	a	E'	2	983.3773738	1.42E-04	77
0	1	0	0	0	0	2	1	s	E"	3	988.0520038	1.74E-04	116
0	0	0	0	0	0	10	5	s	E"	4	993.979852	3.33E-04	154
0	0	0	0	0	0	10	5	a	E'	4	994.4742781	3.17E-04	160
0	0	0	0	0	0	11	9	s	A2"	1	1007.015509	3.47E-04	158
0	0	0	0	0	0	11	9	a	A2'	1	1007.718353	3.33E-04	171
0	0	0	0	0	0	12	12	s	A2'	1	1011.213447	3.65E-04	86
0	1	0	0	0	0	2	2	a	E"	4	1011.741062	1.76E-04	87
0	0	0	0	0	0	12	12	a	A2"	1	1012.26167	3.49E-04	89
0	1	0	0	0	0	3	3	s	A2"	2	1016.621422	2.00E-04	99
0	1	0	0	0	0	2	1	a	E'	4	1022.920081	1.42E-04	96
0	0	0	0	0	0	10	4	s	E'	5	1026.285184	3.17E-04	153
0	1	0	0	0	0	2	0	a	A2"	2	1026.643572	1.42E-04	81
0	0	0	0	0	0	10	4	a	E"	5	1026.742196	3.32E-04	139
0	1	0	0	0	0	3	2	s	E'	3	1036.484447	2.00E-04	117
0	1	0	0	0	0	3	1	s	E"	3	1048.366103	1.73E-04	129
0	0	0	0	0	0	10	3	s	A2"	3	1051.313048	3.17E-04	185
0	0	0	0	0	0	10	3	a	A2'	3	1051.756566	3.33E-04	193
0	1	0	0	0	0	3	0	s	A2'	3	1052.318336	1.73E-04	120
0	1	0	0	0	0	3	3	a	A2'	4	1052.414543	1.73E-04	119
