        C3     C4  Uncertainty  C14  C15  C16  C17  C18  C19  C22  C23 C20 C25  C26  C27  C28  C29  C30  C31  C32  C35  C36 C33 C38  C39       Source
4279.86330 0.0005       0.0005    1    1    0    0    0    0   11    7   s  E"  158    0    0    0    0    0    0   11    7   a  E'    4  21CeCaCo.44
4279.90970 0.0005       0.0005    0    1    1    0    1    0   10    9   a  E'  145    0    0    0    0    0    0   11   10   a  E"    2  21CeCaCo.45
4279.95910 0.0005       0.0005    1    1    0    0    0    0    1    1   a  E'   22    0    0    0    0    0    0    2    1   s  E"    2  21CeCaCo.46
4279.96260 0.0005       0.0005    1    1    0    0    0    0    9    9   s A2"   57    0    0    0    0    0    0    9    9   a A2'    1  21CeCaCo.47
4280.29760 0.0005       0.0005    0    1    0    2    0    2    6    5   a A2'   39    0    0    0    0    0    0    5    3   s A2"    1  21CeCaCo.48
4280.36770 0.0005       0.0005    1    1    0    0    0    0   11    8   s  E'  153    0    0    0    0    0    0   11    8   a  E"    3  21CeCaCo.49
4280.48710 0.0005       0.0005    1    1    0    0    0    0   10    7   s  E"  141    0    0    0    0    0    0   10    7   a  E'    3  21CeCaCo.50
4280.54240 0.0005       0.0005    0    1    1    0    1    0    8    6   s  E'  129    0    0    0    0    0    0    9    7   s  E"    2  21CeCaCo.51
4280.83840 0.0005       0.0005    1    1    0    0    0    0   10    8   s  E'  137    0    0    0    0    0    0   10    8   a  E"    2  21CeCaCo.52
4280.89230 0.0005       0.0005    0    2    1    0    1    0    6    6   s  E'  156    0    1    0    0    0    0    5    5   s  E"    5  21CeCaCo.53
4281.31510 0.0005       0.0005    0    2    1    0    1    0    4    2   s  E'  123    0    1    0    0    0    0    3    1   s  E"    3  21CeCaCo.54
4281.37200 0.0005       0.0005    0    1    0    2    0    2   10    4   a A2"   76    0    0    0    0    0    0   10    6   s A2'    2  21CeCaCo.55
4281.47760 0.0005       0.0005    1    2    0    0    0    0    0    0   a A2"   13    0    1    0    0    0    0    1    0   s A2'    2  21CeCaCo.56
4281.58410 0.0005       0.0005    1    1    0    0    0    0    9    8   s  E'  120    0    0    0    0    0    0    9    8   a  E"    1  21CeCaCo.57
4281.97180 0.0005       0.0005    0    1    1    0    1    0    5    2   s  E'   85    0    0    0    0    0    0    6    1   s  E"    4  21CeCaCo.58
4282.19390 0.0005       0.0005    0    2    1    0    1    0    5    4   s A2'   78    0    1    0    0    0    0    4    3   s A2"    3  21CeCaCo.59
4282.22680 0.0005       0.0005    1    1    0    0    0    0    8    8   s  E'  109    0    0    0    0    0    0    8    8   a  E"    1  21CeCaCo.60
4282.30470 0.0005       0.0005    1    1    0    0    0    0   11    6   s A2'   85    0    0    0    0    0    0   11    6   a A2"    2  21CeCaCo.61
4282.56120 0.0005       0.0005    0    1    0    2    0    0    9    4   s  E'  125    0    0    0    0    0    0    9    7   s  E"    2  21CeCaCo.62
4282.58410 0.0007       0.0007    0    1    0    2    0    2    8    8   a A2"   55    0    0    0    0    0    0    7    6   s A2'    1  21CeCaCo.63
4282.89780 0.0005       0.0005    0    1    1    0    1    0    9    7   a  E'  141    0    0    0    0    0    0   10    8   a  E"    2  21CeCaCo.64
4283.01840 0.0005       0.0005    0    1    0    2    0    0    5    1   s  E"   72    0    0    0    0    0    0    4    4   s  E'    1  21CeCaCo.65
4283.17340 0.0005       0.0005    0    1    1    0    1    0    5    3   a  E'   86    0    0    0    0    0    0    6    1   s  E"    4  21CeCaCo.66
4283.17341 0.0005       0.0005    0    1    0    2    0    2    4    0   a  E"   63    0    0    0    0    0    0    3    1   a  E'    2  21CeCaCo.67
4283.22440 0.0005       0.0005    0    1    0    2    0    0    5    2   a  E"   76    0    0    0    0    0    0    4    2   s  E'    2  21CeCaCo.68
4283.22441 0.0005       0.0005    0    1    1    0    1    0    9    9   s  E"  128    0    0    0    0    0    0   10   10   s  E'    1  21CeCaCo.69
4283.42450 0.0005       0.0005    1    1    0    0    0    0   10    6   s A2'   70    0    0    0    0    0    0   10    6   a A2"    2  21CeCaCo.70
4283.63030 0.0005       0.0005    0    2    1    0    1    0    7    7   a  E'  207    0    1    0    0    0    0    8    8   a  E"    7  21CeCaCo.71
4283.64380 0.0005       0.0005    0    1    1    0    1    0    5    4   a A2"   37    0    0    0    0    0    0    6    3   a A2'    2  21CeCaCo.72
4283.68210 0.0005       0.0005    0    1    0    2    0    0    7    2   s  E'   99    0    0    0    0    0    0    6    2   a  E"    3  21CeCaCo.73
4283.69650 0.0005       0.0005    1    1    0    0    0    0   10    7   s  E"  143    0    0    0    0    0    0   10    7   a  E'    3  21CeCaCo.74
4283.76420 0.0005       0.0005    0    1    1    0    1    0    7    2   a A2"   56    0    0    0    0    0    0    8    3   a A2'    2  21CeCaCo.75
