        C3     C4  Uncertainty  C14  C15  C16  C17  C18  C19  C22  C23 C20 C25  C26  C27  C28  C29  C30  C31  C32  C35  C36 C33 C38  C39       Source
4293.95680 0.0005       0.0005    0    1    0    2    0    0    7    3   a A2'   55    0    0    0    0    0    0    6    0   a A2"    3 21CeCaCo.186
4293.98420 0.0005       0.0005    0    2    0    2    0    0    6    4   a  E"  164    0    1    0    0    0    0    5    4   s  E'    5 21CeCaCo.187
4294.09160 0.0005       0.0005    1    2    0    0    0    0    6    5   a  E'  177    0    1    0    0    0    0    6    5   s  E"    5 21CeCaCo.188
4294.16170 0.0005       0.0005    0    0    1    1    1    1   10    9   a A2'   97    0    1    0    0    0    0    9    9   s A2"    4 21CeCaCo.189
4294.24190 0.0005       0.0005    0    1    1    0    1    0    7    5   s A2"   53    0    0    0    0    0    0    8    6   s A2'    1 21CeCaCo.190
4294.45970 0.0005       0.0005    0    1    0    2    0    0    8    4   s  E'  111    0    0    0    0    0    0    7    4   a  E"    3 21CeCaCo.191
4294.47780 0.0005       0.0005    0    1    0    2    0    2    6    0   s  E'   88    0    0    0    0    0    0    5    2   a  E"    3 21CeCaCo.192
4294.75590 0.0005       0.0005    1    1    0    0    0    0   13   12   a A2"   79    0    0    0    0    0    0   13   12   s A2'    1 21CeCaCo.193
4294.79900 0.0005       0.0005    1    1    0    0    0    0   14   13   a  E'  175    0    0    0    0    0    0   14   13   s  E"    2 21CeCaCo.194
4294.98540 0.0005       0.0005    0    1    0    2    0    0   10    5   s  E"  139    0    0    0    0    0    0   11   11   a  E'    1 21CeCaCo.195
4295.03100 0.0005       0.0005    0    1    0    2    0    2    4    0   a  E"   63    0    0    0    0    0    0    3    2   s  E'    1 21CeCaCo.196
4295.08100 0.0005       0.0005    0    1    0    2    0    2    9    8   a A2"   58    0    0    0    0    0    0    9    9   a A2'    1 21CeCaCo.197
4295.25360 0.0005       0.0005    1    2    0    0    0    0    5    4   a  E"  153    0    1    0    0    0    0    5    4   s  E'    5 21CeCaCo.198
4295.37380 0.0005       0.0005    0    1    1    0    1    0    4    3   s  E"   68    0    0    0    0    0    0    5    2   s  E'    3 21CeCaCo.199
4295.52260 0.0005       0.0005    0    1    0    2    0    0    6    4   a  E"   83    0    0    0    0    0    0    5    4   s  E'    2 21CeCaCo.200
4295.66100 0.0005       0.0005    1    1    0    0    0    0   12   10   a  E"  158    0    0    0    0    0    0   12   10   s  E'    2 21CeCaCo.201
4295.74830 0.0005       0.0005    0    1    0    2    0    2    4    1   a  E'   63    0    0    0    0    0    0    3    2   a  E"    1 21CeCaCo.202
4295.81140 0.0005       0.0005    0    2    1    0    1    0    6    6   a  E"  180    0    1    0    0    0    0    7    7   a  E'    6 21CeCaCo.203
4296.23540 0.0010       0.0010    0    1    1    1    1    1    6    6   s A2'  110    0    0    0    1    0    1    7    7   s A2"    5 21CeCaCo.204
4296.31150 0.0005       0.0005    1    1    0    0    0    0   14   14   a  E"  168    0    0    0    0    0    0   14   14   s  E'    1 21CeCaCo.205
4296.41630 0.0005       0.0005    0    4    0    1    0    1    7    7   s A2"   82    0    1    0    0    0    0    6    6   s A2'    3 21CeCaCo.206
4296.48610 0.0005       0.0005    1    2    0    0    0    0    4    3   a A2'   57    0    1    0    0    0    0    4    3   s A2"    3 21CeCaCo.207
4296.54120 0.0005       0.0005    0    3    1    0    1    0    3    3   s  E"  117    0    2    0    0    0    0    2    2   s  E'    5 21CeCaCo.208
4296.62240 0.0006       0.0006    1    1    0    0    0    0    8    6   a A2"   62    0    0    0    0    0    0    9    9   a A2'    1 21CeCaCo.209
4296.65290 0.0005       0.0005    0    1    1    0    1    0    8    6   a  E"  129    0    0    0    0    0    0    9    7   a  E'    2 21CeCaCo.210
4296.71090 0.0005       0.0005    1    1    0    0    0    0    9    7   a  E'  128    0    0    0    0    0    0   10   10   a  E"    1 21CeCaCo.211
4296.87910 0.0005       0.0005    0    1    0    2    0    0    6    2   a  E"   88    0    0    0    0    0    0    5    1   a  E'    4 21CeCaCo.212
4296.87911 0.0005       0.0005    0    2    0    2    0    2    6    4   a  E"  172    0    1    0    0    0    0    5    2   s  E'    7 21CeCaCo.213
4297.01460 0.0005       0.0005    0    1    1    0    1    0    8    8   s A2'   56    0    0    0    0    0    0    9    9   s A2"    1 21CeCaCo.214
4297.32030 0.0005       0.0005    0    2    1    0    1    0    5    4   a  E"  156    0    1    0    0    0    0    6    5   a  E'    5 21CeCaCo.215
4297.44430 0.0005       0.0005    0    1    1    0    1    0    5    0   s  E'   87    0    0    0    0    0    0    6    1   s  E"    4 21CeCaCo.216
4297.55210 0.0006       0.0006    0    1    1    0    1    0   14   13   s A2"   94    0    0    0    0    0    0   14   12   s A2'    1 21CeCaCo.217
4297.56990 0.0005       0.0005    0    1    1    0    1    0    5    2   a  E"   88    0    0    0    0    0    0    6    1   a  E'    4 21CeCaCo.218
4297.74440 0.0005       0.0005    0    1    0    2    0    2    7    4   a A2"   47    0    0    0    0    0    0    6    3   a A2'    2 21CeCaCo.219
4297.78890 0.0005       0.0005    1    2    0    0    0    0    3    2   a  E"   97    0    1    0    0    0    0    3    2   s  E'    3 21CeCaCo.220
4297.97570 0.0005       0.0005    1    1    0    0    0    0   12   11   a  E'  152    0    0    0    0    0    0   12   11   s  E"    1 21CeCaCo.221
4298.03000 0.0005       0.0005    0    1    0    2    0    0    6    3   a A2'   40    0    0    0    0    0    0    5    3   s A2"    1 21CeCaCo.222
4298.16630 0.0005       0.0005    0    2    1    0    1    0    3    1   a A2'   57    0    1    0    0    0    0    4    0   a A2"    4 21CeCaCo.223
4298.23010 0.0005       0.0005    1    1    0    0    0    0   10    8   a  E"  140    0    0    0    0    0    0   11   11   a  E'    1 21CeCaCo.224
4298.25430 0.0005       0.0005    0    1    1    0    1    0    6    1   a  E'  104    0    0    0    0    0    0    7    2   a  E"    4 21CeCaCo.225
4298.68060 0.0005       0.0005    0    1    0    2    0    2   10    6   s  E'  135    0    0    0    0    0    0    9    5   s  E"    3 21CeCaCo.226
4298.82210 0.0005       0.0005    0    2    1    0    1    0    8    8   s  E'  186    0    1    0    0    0    0    7    7   s  E"    6 21CeCaCo.227
4298.85820 0.0005       0.0005    0    1    0    2    0    0    6    1   a  E'   89    0    0    0    0    0    0    5    1   s  E"    4 21CeCaCo.228
4298.91940 0.0005       0.0005    0    1    0    2    0    0    8    5   s  E"  109    0    0    0    0    0    0    7    5   a  E'    2 21CeCaCo.229
4299.16400 0.0005       0.0005    1    2    0    0    0    0    2    1   a  E'   71    0    1    0    0    0    0    2    1   s  E"    3 21CeCaCo.230
4299.21740 0.0005       0.0005    1    1    0    0    0    0   13   13   a  E'  158    0    0    0    0    0    0   13   13   s  E"    1 21CeCaCo.231
4299.26960 0.0005       0.0005    0    2    1    0    1    0    4    0   s  E'  124    0    1    0    0    0    0    3    1   s  E"    3 21CeCaCo.232
4299.30810 0.0005       0.0005    0    1    1    0    1    0   13   13   s A2"   80    0    0    0    0    0    0   13   12   s A2'    1 21CeCaCo.233
4299.70090 0.0005       0.0005    0    1    0    2    0    2   10    8   a A2"   70    0    0    0    0    0    0   10    9   a A2'    1 21CeCaCo.234
4299.72520 0.0005       0.0005    0    1    1    0    1    0    6    3   s  E"  101    0    0    0    0    0    0    7    4   s  E'    3 21CeCaCo.235
4299.88630 0.0005       0.0005    1    2    0    0    0    0    7    7   a  E'  193    0    1    0    0    0    0    7    7   s  E"    6 21CeCaCo.236
4299.89690 0.0005       0.0005    1    2    0    0    0    0    6    6   a A2"   93    0    1    0    0    0    0    6    6   s A2'    3 21CeCaCo.237
4299.97810 0.0011       0.0011    1    2    0    0    0    0    8    8   a  E"  208    0    1    0    0    0    0    8    8   s  E'    7 21CeCaCo.238
4299.99620 0.0005       0.0005    1    2    0    0    0    0    5    5   a  E'  150    0    1    0    0    0    0    5    5   s  E"    5 21CeCaCo.239
4300.14090 0.0005       0.0005    1    1    0    0    0    0    0    0   a A2"    9    0    0    0    0    0    0    1    0   s A2'    1 21CeCaCo.240
4300.17440 0.0005       0.0005    1    2    0    0    0    0    4    4   a  E"  123    0    1    0    0    0    0    4    4   s  E'    4 21CeCaCo.241
4300.18920 0.0005       0.0005    1    2    0    0    0    0    9    9   a A2'  119    0    1    0    0    0    0    9    9   s A2"    4 21CeCaCo.242
4300.28390 0.0005       0.0005    0    1    0    2    0    0    6    0   a A2"   49    0    0    0    0    0    0    5    0   s A2'    2 21CeCaCo.243
4300.38810 0.0005       0.0005    0    1    1    0    1    0    6    1   s A2"   56    0    0    0    0    0    0    7    3   a A2'    2 21CeCaCo.244
4300.42860 0.0005       0.0005    1    2    0    0    0    0    3    3   a A2'   55    0    1    0    0    0    0    3    3   s A2"    2 21CeCaCo.245
4300.56840 0.0005       0.0005    1    2    0    0    0    0   10   10   a  E"  234    0    1    0    0    0    0   10   10   s  E'    8 21CeCaCo.246
4300.59320 0.0007       0.0007    0    2    1    0    1    0    8    8   s  E'  187    0    1    0    0    0    0    7    7   s  E"    6 21CeCaCo.247
4300.63680 0.0005       0.0005    0    1    0    2    0    0    9    3   a A2'   71    0    0    0    0    0    0    9    6   a A2"    2 21CeCaCo.248
4300.65400 0.0005       0.0005    0    1    0    2    0    2   12   10   a A2"   78    0    0    0    0    0    0   12   12   s A2'    1 21CeCaCo.249
4300.75180 0.0007       0.0007    0    2    1    0    1    0    4    2   a A2"   70    0    1    0    0    0    0    5    3   a A2'    3 21CeCaCo.250
4300.75181 0.0007       0.0007    1    2    0    0    0    0    2    2   a  E"   69    0    1    0    0    0    0    2    2   s  E'    3 21CeCaCo.251
4300.82740 0.0006       0.0006    0    2    1    0    1    0   11    9   a  E'  304    0    1    0    0    0    0   11    8   a  E"   11 21CeCaCo.252
4300.99020 0.0007       0.0007    0    1    1    0    1    0   15   12   s  E'  204    0    0    0    0    0    0   15   11   s  E"    3 21CeCaCo.253
4301.13100 0.0005       0.0005    0    1    1    0    1    0    7    4   a  E"  116    0    0    0    0    0    0    8    5   a  E'    3 21CeCaCo.254
4301.14690 0.0005       0.0005    1    2    0    0    0    0    1    1   a  E'   41    0    1    0    0    0    0    1    1   s  E"    2 21CeCaCo.255
4301.21090 0.0005       0.0005    0    3    1    0    1    0    3    2   s  E'  116    0    2    0    0    0    0    2    1   s  E"    5 21CeCaCo.256
4301.26780 0.0005       0.0005    0    1    0    2    0    2    7    4   a  E"  102    0    0    0    0    0    0    6    1   a  E'    4 21CeCaCo.257
4301.35520 0.0005       0.0005    0    1    1    1    1    1    5    4   s A2'  104    0    0    0    1    0    1    6    5   s A2"    7 21CeCaCo.258
4301.44310 0.0005       0.0005    1    1    0    0    0    0   12    8   a  E"  171    0    0    0    0    0    0   12    8   s  E'    3 21CeCaCo.259
4301.66490 0.0005       0.0005    1    1    0    0    0    0   11    8   a  E"  155    0    0    0    0    0    0   11    8   s  E'    3 21CeCaCo.260
4301.81240 0.0005       0.0005    0    1    1    0    1    0    6    0   a  E"  105    0    0    0    0    0    0    7    2   s  E'    4 21CeCaCo.261
4301.90270 0.0005       0.0005    0    1    0    2    0    0    8    1   s  E"  115    0    0    0    0    0    0    7    1   a  E'    5 21CeCaCo.262
4302.02920 0.0010       0.0010    1    1    0    0    0    0   12    9   a A2'   81    0    0    0    0    0    0   12    9   s A2"    2 21CeCaCo.263
4302.23230 0.0005       0.0005    1    1    0    0    0    0   11    9   a A2'   79    0    0    0    0    0    0   11    9   s A2"    1 21CeCaCo.264
4302.43310 0.0005       0.0005    0    1    1    0    1    0    7    6   s  E'  112    0    0    0    0    0    0    8    7   s  E"    2 21CeCaCo.265
4302.54200 0.0005       0.0005    0    2    1    0    1    0    5    2   s  E'  149    0    1    0    0    0    0    4    1   s  E"    5 21CeCaCo.266
4302.61080 0.0005       0.0005    0    2    1    0    1    0    7    6   s  E'  182    0    1    0    0    0    0    6    5   s  E"    5 21CeCaCo.267
4302.73140 0.0005       0.0005    0    1    0    2    0    2    7    5   a A2'   52    0    0    0    0    0    0    6    3   s A2"    2 21CeCaCo.268
4302.77370 0.0005       0.0005    0    1    0    2    0    0   10    5   s  E"  139    0    0    0    0    0    0   10    8   s  E'    2 21CeCaCo.269
4303.05560 0.0005       0.0005    0    1    1    0    1    0    4    2   s  E'   69    0    0    0    0    0    0    5    1   s  E"    4 21CeCaCo.270
4303.22140 0.0005       0.0005    1    1    0    0    0    0   11   10   a  E"  145    0    0    0    0    0    0   11   10   s  E'    2 21CeCaCo.271
4303.24370 0.0005       0.0005    1    1    0    0    0    0   12   12   a A2"   79    0    0    0    0    0    0   12   12   s A2'    1 21CeCaCo.272
4303.29750 0.0005       0.0005    1    1    0    0    0    0   10    4   a  E"  158    0    0    0    0    0    0   10    4   s  E'    5 21CeCaCo.273
4303.33500 0.0005       0.0005    1    1    0    0    0    0   10    3   a A2'   76    0    0    0    0    0    0   10    3   s A2"    3 21CeCaCo.274
4303.35430 0.0005       0.0005    1    1    0    0    0    0   10    5   a  E'  154    0    0    0    0    0    0   10    5   s  E"    4 21CeCaCo.275
4303.46600 0.0005       0.0005    0    1    0    2    0    2    6    2   a  E"   89    0    0    0    0    0    0    5    1   a  E'    4 21CeCaCo.276
4303.53140 0.0005       0.0005    1    1    0    0    0    0   10    6   a A2"   77    0    0    0    0    0    0   10    6   s A2'    2 21CeCaCo.277
4303.60140 0.0005       0.0005    0    1    0    2    0    2    6    1   s A2"   48    0    0    0    0    0    0    5    3   a A2'    1 21CeCaCo.278
4303.67790 0.0005       0.0005    0    2    1    0    1    0    6    4   s A2'   82    0    1    0    0    0    0    5    3   s A2"    2 21CeCaCo.279
4303.76530 0.0005       0.0005    1    1    0    0    0    0   10    7   a  E'  144    0    0    0    0    0    0   10    7   s  E"    3 21CeCaCo.280
4303.85750 0.0005       0.0005    0    1    1    0    1    0    9    9   a  E'  129    0    0    0    0    0    0   10   10   a  E"    1 21CeCaCo.281
4304.12900 0.0005       0.0005    0    1    0    2    0    2   11    8   a A2"   72    0    0    0    0    0    0   11    9   a A2'    1 21CeCaCo.282
4304.14930 0.0008       0.0008    0    1    0    2    0    2   12   10   a A2"   78    0    0    0    0    0    0   11    9   a A2'    1 21CeCaCo.283
4304.47270 0.0005       0.0005    0    1    1    0    1    0   14   12   s  E'  189    0    0    0    0    0    0   14   11   s  E"    3 21CeCaCo.284
4304.61780 0.0005       0.0005    0    2    1    0    1    0   10   10   a A2"  133    0    1    0    0    0    0   10    9   a A2'    4 21CeCaCo.285
4304.72000 0.0005       0.0005    0    1    0    2    0    0    8    3   s A2"   59    0    0    0    0    0    0    7    3   a A2'    2 21CeCaCo.286
4304.79440 0.0005       0.0005    0    1    1    0    1    0    5    1   a A2'   49    0    0    0    0    0    0    6    0   a A2"    3 21CeCaCo.287
4304.97410 0.0005       0.0005    1    1    0    0    0    0   11   11   a  E'  139    0    0    0    0    0    0   11   11   s  E"    1 21CeCaCo.288
4305.01670 0.0005       0.0005    0    1    1    0    1    0    4    3   a  E'   70    0    0    0    0    0    0    5    1   s  E"    4 21CeCaCo.289
4305.25730 0.0005       0.0005    0    1    1    0    1    0    5    1   s  E"   87    0    0    0    0    0    0    6    2   s  E'    3 21CeCaCo.290
4305.32490 0.0005       0.0005    1    1    0    0    0    0    9    2   a  E"  144    0    0    0    0    0    0    9    2   s  E'    5 21CeCaCo.291
4305.39680 0.0005       0.0005    1    1    0    0    0    0    9    3   a A2'   76    0    0    0    0    0    0    9    3   s A2"    3 21CeCaCo.292
4305.54470 0.0005       0.0005    0    1    1    0    1    0    4    4   a A2"   38    0    0    0    0    0    0    5    3   a A2'    1 21CeCaCo.293
4305.57150 0.0005       0.0005    1    1    0    0    0    0    9    4   a  E"  141    0    0    0    0    0    0    9    4   s  E'    4 21CeCaCo.294
4305.64980 0.0005       0.0005    1    1    0    0    0    0   10    9   a A2'   65    0    0    0    0    0    0   10    9   s A2"    1 21CeCaCo.295
4305.80450 0.0005       0.0005    0    1    0    2    0    2    9    6   a  E"  121    0    0    0    0    0    0    8    5   a  E'    3 21CeCaCo.296
4305.85620 0.0005       0.0005    1    1    0    0    0    0    9    5   a  E'  138    0    0    0    0    0    0    9    5   s  E"    3 21CeCaCo.297
4305.90020 0.0005       0.0005    0    2    1    0    1    0    3    0   a  E"  100    0    1    0    0    0    0    4    1   a  E'    6 21CeCaCo.298
4306.01820 0.0005       0.0005    1    1    0    0    0    0   10    8   a  E"  140    0    0    0    0    0    0   10    8   s  E'    2 21CeCaCo.299
4306.17600 0.0005       0.0005    0    1    0    2    0    2    9    5   s A2"   60    0    0    0    0    0    0    8    3   a A2'    2 21CeCaCo.300
4306.31390 0.0005       0.0005    1    1    0    0    0    0    9    6   a A2"   63    0    0    0    0    0    0    9    6   s A2'    2 21CeCaCo.301
4306.53760 0.0005       0.0005    0    1    1    0    1    0    6    2   a A2"   57    0    0    0    0    0    0    7    3   a A2'    2 21CeCaCo.302
4306.56160 0.0005       0.0005    0    1    1    0    1    0    8    7   a  E'  126    0    0    0    0    0    0    9    8   a  E"    1 21CeCaCo.303
4306.61780 0.0005       0.0005    0    1    0    2    0    0    9    7   s  E"  116    0    0    0    0    0    0    8    7   a  E'    2 21CeCaCo.304
4306.64050 0.0012       0.0012    0    1    1    0    1    0    9    8   s A2'   72    0    0    0    0    0    0    9    6   a A2"    2 21CeCaCo.305
4306.86240 0.0005       0.0005    0    1    1    0    1    0   13   12   s  E'  172    0    0    0    0    0    0   13   11   s  E"    2 21CeCaCo.306
4306.98960 0.0005       0.0005    1    1    0    0    0    0    9    7   a  E'  128    0    0    0    0    0    0    9    7   s  E"    2 21CeCaCo.307
4307.06280 0.0005       0.0005    0    1    0    2    0    2    5    0   a  E"   79    0    0    0    0    0    0    4    1   a  E'    3 21CeCaCo.308
4307.33630 0.0005       0.0005    1    1    0    0    0    0   10   10   a  E"  129    0    0    0    0    0    0   10   10   s  E'    1 21CeCaCo.309
4307.39720 0.0005       0.0005    0    2    1    0    1    0    4    1   s  E"  122    0    1    0    0    0    0    3    2   s  E'    3 21CeCaCo.310
4307.51450 0.0005       0.0005    0    1    0    2    0    0    6    1   s  E"   84    0    0    0    0    0    0    5    4   s  E'    2 21CeCaCo.311
4307.62370 0.0008       0.0008    1    1    0    0    0    0    8    1   a  E'  130    0    0    0    0    0    0    8    1   s  E"    6 21CeCaCo.312
4307.72240 0.0005       0.0005    1    1    0    0    0    0    8    2   a  E"  128    0    0    0    0    0    0    8    2   s  E'    5 21CeCaCo.313
4307.78260 0.0005       0.0005    0    1    1    0    1    0    6    4   s  E'   99    0    0    0    0    0    0    7    5   s  E"    2 21CeCaCo.314
4307.91260 0.0005       0.0005    1    1    0    0    0    0    8    3   a A2'   59    0    0    0    0    0    0    8    3   s A2"    2 21CeCaCo.315
4308.00520 0.0005       0.0005    0    2    1    0    1    0    5    5   a A2'   82    0    1    0    0    0    0    6    6   a A2"    4 21CeCaCo.316
4308.13010 0.0005       0.0005    0    1    1    0    1    0    8    8   s A2'   56    0    0    0    0    0    0    8    6   a A2"    1 21CeCaCo.317
4308.15600 0.0005       0.0005    1    1    0    0    0    0    9    8   a  E"  124    0    0    0    0    0    0    9    8   s  E'    1 21CeCaCo.318
4308.21160 0.0005       0.0005    1    1    0    0    0    0    8    4   a  E"  125    0    0    0    0    0    0    8    4   s  E'    4 21CeCaCo.319
4308.21161 0.0005       0.0005    0    2    1    0    1    0    9    9   s  E"  198    0    1    0    0    0    0    8    8   s  E'    7 21CeCaCo.320
4308.35760 0.0005       0.0005    0    1    0    2    0    2    7    2   s A2'   56    0    0    0    0    0    0    6    0   a A2"    3 21CeCaCo.321
4308.41670 0.0005       0.0005    0    3    1    0    1    0    4    4   s A2'   69    0    2    0    0    0    0    3    3   s A2"    3 21CeCaCo.322
4308.43990 0.0005       0.0005    0    1    0    2    0    2    4    2   a A2"   35    0    0    0    0    0    0    3    3   a A2'    1 21CeCaCo.323
4308.53630 0.0005       0.0005    0    2    1    0    1    0   11    7   a A2'  165    0    1    0    0    0    0   11    6   a A2"    5 21CeCaCo.324
4308.57340 0.0005       0.0005    0    1    0    2    0    0    6    2   a  E"   88    0    0    0    0    0    0    5    2   s  E'    3 21CeCaCo.325
4308.65690 0.0005       0.0005    0    1    0    2    0    2    9    4   s A2'   67    0    0    0    0    0    0    8    3   s A2"    2 21CeCaCo.326
4308.67320 0.0007       0.0007    1    1    0    0    0    0    8    5   a  E'  123    0    0    0    0    0    0    8    5   s  E"    3 21CeCaCo.327
4308.82830 0.0005       0.0005    0    1    1    0    1    0   12   12   s  E'  156    0    0    0    0    0    0   12   11   s  E"    1 21CeCaCo.328
4309.08420 0.0005       0.0005    0    1    0    2    0    2    6    2   s A2'   42    0    0    0    0    0    0    5    3   s A2"    1 21CeCaCo.329
4309.34650 0.0005       0.0005    1    1    0    0    0    0    8    6   a A2"   62    0    0    0    0    0    0    8    6   s A2'    1 21CeCaCo.330
4309.52200 0.0005       0.0005    0    1    0    2    0    2    5    1   a  E'   77    0    0    0    0    0    0    4    1   s  E"    3 21CeCaCo.331
4309.61380 0.0005       0.0005    1    1    0    0    0    0    9    9   a A2'   66    0    0    0    0    0    0    9    9   s A2"    1 21CeCaCo.332
4309.82110 0.0005       0.0005    0    1    1    0    1    0   15   13   a A2'  104    0    0    0    0    0    0   15   12   a A2"    2 21CeCaCo.333
4310.03620 0.0005       0.0005    1    1    0    0    0    0    7    1   a  E'  113    0    0    0    0    0    0    7    1   s  E"    5 21CeCaCo.334
4310.03621 0.0005       0.0005    0    1    0    2    0    0   10    9   s A2"   64    0    0    0    0    0    0    9    9   a A2'    1 21CeCaCo.335
4310.13010 0.0005       0.0005    0    2    1    0    1    0    4    3   a  E'  127    0    1    0    0    0    0    5    4   a  E"    6 21CeCaCo.336
4310.18440 0.0005       0.0005    1    1    0    0    0    0    7    2   a  E"  112    0    0    0    0    0    0    7    2   s  E'    4 21CeCaCo.337
4310.20680 0.0005       0.0005    0    1    1    0    1    0    5    1   a  E'   88    0    0    0    0    0    0    6    1   s  E"    4 21CeCaCo.338
4310.30520 0.0006       0.0006    1    1    0    0    0    0    8    7   a  E'  115    0    0    0    0    0    0    8    7   s  E"    2 21CeCaCo.339
4310.34290 0.0005       0.0005    0    1    1    0    1    0    7    5   a A2'   61    0    0    0    0    0    0    8    6   a A2"    1 21CeCaCo.340
4310.44610 0.0005       0.0005    1    1    0    0    0    0    7    3   a A2'   59    0    0    0    0    0    0    7    3   s A2"    2 21CeCaCo.341
4310.67400 0.0005       0.0005    0    1    1    0    1    0    7    7   s  E"  108    0    0    0    0    0    0    8    8   s  E'    1 21CeCaCo.342
4310.70250 0.0005       0.0005    0    1    1    0    1    0    4    1   s A2"   39    0    0    0    0    0    0    5    0   s A2'    2 21CeCaCo.343
4310.85660 0.0005       0.0005    1    1    0    0    0    0    7    4   a  E"  109    0    0    0    0    0    0    7    4   s  E'    3 21CeCaCo.344
4311.38230 0.0005       0.0005    0    3    1    0    1    0    4    3   s  E"  150    0    2    0    0    0    0    3    2   s  E'    5 21CeCaCo.345
4311.44950 0.0005       0.0005    1    1    0    0    0    0    7    5   a  E'  107    0    0    0    0    0    0    7    5   s  E"    2 21CeCaCo.346
4311.52200 0.0005       0.0005    0    1    0    2    0    0    7    6   a A2"   44    0    0    0    0    0    0    6    6   s A2'    1 21CeCaCo.347
4311.56810 0.0005       0.0005    1    1    0    0    0    0    8    8   a  E"  110    0    0    0    0    0    0    8    8   s  E'    1 21CeCaCo.348
4311.67710 0.0008       0.0008    0    1    1    0    1    0   14   11   s  E"  196    0    0    0    0    0    0   14   10   s  E'    4 21CeCaCo.349
4312.09530 0.0005       0.0005    0    2    1    0    1    0    8    7   s A2"  103    0    1    0    0    0    0    7    6   s A2'    4 21CeCaCo.350
4312.27440 0.0005       0.0005    1    1    0    0    0    0    7    6   a A2"   49    0    0    0    0    0    0    7    6   s A2'    1 21CeCaCo.351
4312.34860 0.0005       0.0005    1    1    0    0    0    0    6    1   a  E'   97    0    0    0    0    0    0    6    1   s  E"    4 21CeCaCo.352
4312.37190 0.0005       0.0005    0    1    1    0    1    0    4    3   a  E'   68    0    0    0    0    0    0    5    2   a  E"    3 21CeCaCo.353
4312.53230 0.0005       0.0005    1    1    0    0    0    0    6    2   a  E"   95    0    0    0    0    0    0    6    2   s  E'    3 21CeCaCo.354
4312.58210 0.0005       0.0005    0    1    0    2    0    0    8    2   s  E'  116    0    0    0    0    0    0    7    2   a  E"    4 21CeCaCo.355
4312.59440 0.0005       0.0005    0    1    1    0    1    0    5    0   a  E"   89    0    0    0    0    0    0    6    1   a  E'    4 21CeCaCo.356
4312.78550 0.0005       0.0005    0    2    1    0    1    0    2    2   a  E"   70    0    1    0    0    0    0    3    1   a  E'    4 21CeCaCo.357
4312.85590 0.0005       0.0005    1    1    0    0    0    0    6    3   a A2'   44    0    0    0    0    0    0    6    3   s A2"    2 21CeCaCo.358
4313.12470 0.0008       0.0008    0    1    0    2    0    2    7    1   s  E"  103    0    0    0    0    0    0    6    1   a  E'    4 21CeCaCo.359
4313.18240 0.0005       0.0005    0    1    1    0    1    0    5    2   s A2'   47    0    0    0    0    0    0    6    3   s A2"    2 21CeCaCo.360
4313.34440 0.0005       0.0005    1    1    0    0    0    0    6    4   a  E"   92    0    0    0    0    0    0    6    4   s  E'    2 21CeCaCo.361
4313.37120 0.0005       0.0005    1    1    0    0    0    0    7    7   a  E'  100    0    0    0    0    0    0    7    7   s  E"    1 21CeCaCo.362
4313.47290 0.0005       0.0005    1    1    0    0    0    0    1    0   s A2'   15    0    0    0    0    0    0    0    0   a A2"    1 21CeCaCo.363
4313.91360 0.0005       0.0005    0    2    0    2    0    0    7    3   a A2'  105    0    1    0    0    0    0    6    3   s A2"    5 21CeCaCo.364
4313.94310 0.0005       0.0005    0    1    0    2    0    2    9    5   a A2'   68    0    0    0    0    0    0    8    0   a A2"    3 21CeCaCo.365
4314.03500 0.0005       0.0005    1    1    0    0    0    0    6    5   a  E'   92    0    0    0    0    0    0    6    5   s  E"    1 21CeCaCo.366
4314.07920 0.0005       0.0005    0    2    1    0    1    0    6    3   s  E"  173    0    1    0    0    0    0    5    2   s  E'    7 21CeCaCo.367
4314.11130 0.0005       0.0005    0    2    1    0    1    0    3    1   a  E'   99    0    1    0    0    0    0    4    2   a  E"    6 21CeCaCo.368
4314.13500 0.0005       0.0005    0    1    1    0    1    0    9    9   a  E'  129    0    0    0    0    0    0    9    7   s  E"    2 21CeCaCo.369
4314.37310 0.0005       0.0005    0    2    1    0    1    0   10    7   a A2'  140    0    1    0    0    0    0   10    6   a A2"    6 21CeCaCo.370
4314.38580 0.0005       0.0005    0    1    0    2    0    2    6    3   a  E'   90    0    0    0    0    0    0    5    1   s  E"    4 21CeCaCo.371
4314.43950 0.0005       0.0005    0    1    0    2    0    0    9    4   a  E"  129    0    0    0    0    0    0    8    1   a  E'    6 21CeCaCo.372
4314.45140 0.0005       0.0005    1    1    0    0    0    0    5    1   a  E'   81    0    0    0    0    0    0    5    1   s  E"    4 21CeCaCo.373
4314.45141 0.0005       0.0005    0    1    1    1    1    1    4    3   s  E"  160    0    0    0    1    0    1    5    4   s  E'   11 21CeCaCo.374
4314.54360 0.0005       0.0005    0    1    1    0    1    0    8    4   a A2"   71    0    0    0    0    0    0    9    6   s A2'    2 21CeCaCo.375
4314.58080 0.0005       0.0005    0    2    1    0    1    0    7    5   s  E"  196    0    1    0    0    0    0    6    4   s  E'    6 21CeCaCo.376
4314.64350 0.0005       0.0005    0    1    1    0    1    0    6    2   s  E'  101    0    0    0    0    0    0    7    4   a  E"    3 21CeCaCo.377
4314.66280 0.0005       0.0005    1    1    0    0    0    0    5    2   a  E"   82    0    0    0    0    0    0    5    2   s  E'    3 21CeCaCo.378
