C.1 	  C.2         	C.3       	C.4	  C.5         	 C.6     	C.7	 C.8     	  C.9         	C.10      	  C.11        	  C.12        	C.13              	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32	C.33	C.34	C.35	C.36	C.37	C.38	C.39	C.40
817	  4016.57625	4.4624E-24	3	  4016.57624	 0.00001	2	-0.00001	  4016.51315	4.9138E-24	  1387.04150	  5403.55470	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	7	5	6	2	83	0	1	0	0	0	0	1	5	7	6	1	5	3
818	  4016.98309	1.3821E-23	3	  4016.98309	          	1	-0.00000	  4016.83250	1.4611E-23	  1338.66260	  5355.49510	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	7	7	6	6	148	0	1	0	0	0	0	1	5	7	7	6	3	6
819	  4017.11003	6.5543E-24	3	  4017.10953	 0.00074	6	-0.00050	  4017.10965	6.4953E-24	   697.39450	  4714.50420	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	7	4	3	6	102	0	0	0	0	0	0	0	1	8	2	3	3	5
820	  4017.18969	1.7287E-24	3	  4017.18925	 0.00114	2	-0.00044	  4017.10912	1.6880E-24	   522.22220	  4539.33140	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	7	1	6	5	43	0	0	0	0	0	0	1	5	7	3	4	2	2
821	  4017.31197	1.2222E-23	3	  4017.31193	 0.00017	8	-0.00004	  4017.25681	1.2869E-23	   413.23810	  4430.49490	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	5	1	6	6	73	0	0	0	0	0	0	1	5	6	1	6	3	4
822	  4017.31678	8.7272E-25	3																																				
823	  4017.34375	4.3176E-24	3	  4017.34375	          	1	 0.00000	  4016.92795	4.5953E-24	  1751.74610	  5768.67410	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	10	9	5	5	105	0	1	0	0	0	0	1	5	10	9	4	2	4
824	  4017.47510	1.1874E-24	3	  4017.47537	 0.00003	3	 0.00027	  4017.37220	1.2297E-24	  1052.54460	  5069.91680	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	9	1	6	5	64	0	0	0	0	0	0	1	5	10	3	4	2	3
825	  4017.53657	6.7971E-25	3																																				
826	  4017.61592	2.0308E-24	3	  4017.61545	 0.00004	6	-0.00047	  4017.42967	2.0469E-24	   708.74530	  4726.17500	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	7	1	6	6	103	0	0	0	0	0	0	1	5	8	1	6	3	6
827	  4017.85540	6.4179E-24	3	  4017.85491	 0.00098	5	-0.00049	  4017.70686	6.1421E-24	   697.91560	  4715.62250	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	7	3	5	3	102	0	0	0	0	0	0	1	5	8	2	3	6	5
828	  4017.93582	1.4224E-24	3	  4017.93564	 0.00031	7	-0.00018	  4017.84612	1.2715E-24	   539.84500	  4557.69110	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	6	1	6	6	85	0	0	0	0	0	0	0	1	7	2	3	3	4
829	  4017.97055	1.6363E-25	3																																				
830	  4018.06877	2.7272E-25	3																																				
831	  4018.22735	1.2910E-23	3	  4018.22735	          	1	-0.00000	  4018.41568	1.4272E-23	   859.99890	  4878.41460	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	10	3	3	120	0	0	0	0	0	0	0	1	11	11	6	6	1
832	  4018.23294	1.5839E-24	3																																				
833	  4018.25076	2.2447E-25	3																																				
834	  4018.27929	8.2656E-25	3	  4018.27832	 0.00144	2	-0.00097	  4018.22946	9.7350E-25	  1544.55860	  5562.78810	0011_11_aE"<-0100	1	0	0	1	1	1	1	1	6	8	7	6	2	85	0	1	0	0	0	0	1	5	8	6	1	5	4
835	  4018.37274	3.7552E-25	3	  4018.37265	 0.00006	4	-0.00009	  4018.30070	2.9380E-25	    45.58690	  4063.88760	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	2	0	1	3	30	0	0	0	0	0	0	1	5	2	2	3	6	1
836	  4018.53895	2.6853E-25	3																																				
837	  4018.56689	2.7201E-25	4	  4018.56638	 0.00039	5	-0.00051	  4018.51226	2.3990E-25	  1284.95600	  5303.46830	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	10	1	6	3	155	0	0	0	0	0	0	1	5	11	2	3	6	7
838	  4018.67645	2.9580E-25	3	  4018.67755	 0.00028	2	 0.00110	  4018.69507	2.5252E-25	  1769.73080	  5788.42590	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	12	0	1	6	193	0	0	0	0	0	0	0	1	13	2	3	3	8
839	  4018.74584	1.4832E-24	3	  4018.74584	          	1	 0.00000	  4018.75976	1.4480E-24	  1387.04150	  5405.80130	0011_11_aE"<-0100	1	0	0	1	1	1	1	1	6	7	7	6	2	84	0	1	0	0	0	0	1	5	7	6	1	5	3
840	  4018.85514	1.9091E-25	3																																				
841	  4018.97162	2.1188E-25	3	  4018.97162	          	1	 0.00000	  4018.99908	2.5537E-25	  1641.51100	  5660.51010	0011_11_aE"<-0100	1	0	0	1	1	1	1	1	6	8	5	6	3	201	0	1	0	0	0	0	0	1	9	7	6	6	8
842	  4019.07551	8.4754E-25	3	  4019.07486	 0.00064	3	-0.00065	  4019.14241	8.9408E-25	  1771.29940	  5790.44180	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	13	9	4	2	95	0	0	0	0	0	0	0	1	14	9	5	5	2
843	  4019.12506	2.6895E-24	3	  4019.12466	 0.00032	2	-0.00040	  4019.23184	2.6604E-24	  1174.60520	  5193.83710	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	11	9	5	6	142	0	0	0	0	0	0	0	1	12	10	3	3	2
844	  4019.19135	4.5524E-25	3	  4019.19132	 0.00003	3	-0.00003	  4019.13251	4.8884E-25	  1544.63490	  5563.76740	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	13	12	1	5	79	0	0	0	0	0	0	0	1	14	12	2	2	1
845	  4019.24772	6.4824E-25	3																																				
846	  4019.25541	4.0699E-25	3	  4019.25541	          	1	 0.00000	  4019.16375	4.1339E-25	  1585.08760	  5604.25140	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	8	4	3	6	189	0	1	0	0	0	0	1	5	8	5	6	3	9
847	  4019.27648	3.5034E-25	3	  4019.27683	 0.00025	5	 0.00035	  4018.89026	3.8137E-25	  1500.39190	  5519.28220	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	11	2	3	2	89	0	0	0	0	0	0	0	1	12	3	5	5	4
848	  4019.32963	5.1608E-25	3	  4019.33031	 0.00068	3	 0.00068	  4019.35717	5.7571E-25	  1703.63030	  5722.98750	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	13	10	3	6	175	0	0	0	0	0	0	0	1	14	10	3	3	4
849	  4019.45272	5.5174E-25	3	  4019.45441	 0.00109	2	 0.00169	  4019.23014	5.8391E-25	  1318.35190	  5337.58200	0011_11_aA2"<-0100	1	0	0	1	1	1	1	1	5	5	3	4	2	71	0	1	0	0	0	0	0	1	6	3	5	5	5
850	  4019.49427	5.8031E-24	3	  4019.49454	 0.00027	6	 0.00027	  4019.26672	5.6577E-24	   874.14790	  4893.41470	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	8	1	6	6	118	0	0	0	0	0	0	0	1	9	2	3	3	5
851	  4019.53266	1.9923E-23	3	  4019.53267	 0.00001	4	 0.00001	  4019.53398	2.0025E-23	   621.06410	  4640.59810	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	7	5	6	3	96	0	0	0	0	0	0	0	1	8	5	6	6	3
852	  4019.57756	2.4545E-25	3																																				
853	  4019.62055	1.8084E-24	3	  4019.62038	 0.00054	6	-0.00017	  4019.70855	1.7252E-24	  1170.75510	  5190.46370	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	5	6	5	74	0	0	0	0	0	0	0	1	11	6	2	2	2
854	  4019.64765	4.3426E-25	3	  4019.64816	 0.00051	3	 0.00051	  4019.63799	6.3050E-25	  1628.15220	  5647.79020	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	13	11	6	3	170	0	0	0	0	0	0	0	1	14	11	6	6	3
855	  4019.67752	2.9790E-25	3																																				
856	  4019.68801	5.2237E-25	3																																				
857	  4019.74263	6.6982E-23	3	  4019.74248	 0.00025	5	-0.00015	  4019.83736	6.6102E-23	   265.22630	  4285.06370	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	4	3	5	5	31	0	0	0	0	0	0	1	5	5	3	4	2	1
858	  4019.75796	9.2517E-25	3																																				
859	  4019.89373	2.2447E-25	3																																				
860	  4019.91571	4.4055E-25	3	  4019.91538	 0.00012	7	-0.00033	  4019.86696	4.9196E-25	  1080.62200	  5100.48890	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	9	3	4	3	137	0	0	0	0	0	0	0	1	10	1	6	6	7
861	  4020.01130	5.2114E-24	3	  4020.01131	 0.00002	2	 0.00001	  4019.78995	4.8614E-24	  1496.43750	  5516.22750	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	8	7	6	6	171	0	1	0	0	0	0	1	5	8	7	6	3	8
862	  4020.06112	1.4425E-24	3	  4020.06183	 0.00001	3	 0.00071	  4019.82141	1.5139E-24	  1814.82820	  5834.64960	0210_10_sE'<-0100	1	0	2	1	0	1	0	0	3	8	3	4	6	231	0	1	0	0	0	0	0	1	9	2	3	3	11
863	  4020.06113	9.0752E-25	3	  4020.06179	 0.00065	3	 0.00066	  4020.14464	9.4967E-25	  1305.12140	  5325.26600	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	11	7	6	6	152	0	0	0	0	0	0	0	1	12	8	3	3	3
864	  4020.07398	1.5545E-24	3	  4020.07380	 0.00002	3	-0.00018	  4019.86872	1.7407E-24	  1430.51150	  5450.38030	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	12	10	3	3	159	0	0	0	0	0	0	1	5	13	10	3	6	3
865	  4020.11417	1.2860E-24	3	  4020.11456	 0.00044	2	 0.00039	  4019.92132	1.1945E-24	  1814.59840	  5834.51970	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	10	8	3	3	209	0	1	0	0	0	0	1	5	10	8	3	6	9
866	  4020.24830	4.0279E-25	3	  4020.24893	 0.00044	5	 0.00063	  4019.98083	2.9933E-25	  1210.50460	  5230.48550	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	3	5	6	147	0	0	0	0	0	0	1	5	11	5	6	3	5
867	  4020.35175	4.9090E-25	3	  4020.35175	          	1	 0.00000	  4020.34996	4.2110E-25	  1430.90520	  5451.25520	0011_11_aE"<-0100	1	0	0	1	1	1	1	1	6	6	2	3	6	160	0	1	0	0	0	0	0	1	7	4	3	3	8
868	  4020.36894	5.1188E-25	3	  4020.36894	          	1	 0.00000	  4020.28382	5.4474E-25	  1337.86370	  5358.14750	0011_11_aA2"<-0100	1	0	0	1	1	1	1	1	5	5	2	3	6	144	0	1	0	0	0	0	0	1	6	2	3	3	7
869	  4020.49314	2.2028E-25	3																																				
870	  4020.58242	1.8251E-25	3																																				
871	  4020.72746	5.7692E-25	3	  4020.72780	 0.00006	7	 0.00034	  4020.77953	6.2472E-25	   401.64830	  4422.42780	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	5	1	6	6	72	0	0	0	0	0	0	0	1	6	2	3	3	3
872	  4021.12902	4.0659E-24	3	  4021.12886	 0.00035	6	-0.00016	  4020.99441	3.9804E-24	   885.36650	  4906.36090	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	8	2	3	6	121	0	0	0	0	0	0	1	5	9	1	6	3	6
873	  4021.15600	3.1721E-24	3	  4021.15640	 0.00001	3	 0.00040	  4021.24346	3.1926E-24	  1243.76280	  5265.00620	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	11	8	3	2	75	0	0	0	0	0	0	0	1	12	9	5	5	2
874	  4021.18748	4.8464E-24	3	  4021.18746	 0.00001	2	-0.00002	  4021.17868	4.1636E-24	    55.93890	  4077.11760	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	1	1	6	3	18	0	0	0	0	0	0	0	1	2	1	6	6	2
875	  4021.30832	2.6014E-25	3																																				
876	  4021.51955	6.0838E-25	3	  4021.52082	 0.00036	3	 0.00127	  4021.66979	7.0440E-25	  1658.41240	  5680.08220	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	12	5	6	2	86	0	0	0	0	0	0	1	5	13	6	1	5	3
877	  4021.56058	2.2657E-25	3																																				
878	  4021.67806	1.5314E-25	3																																				
879	  4021.76950	1.8483E-24	3	  4021.76969	 0.00014	2	 0.00019	  4021.72468	1.9219E-24	  1544.55860	  5566.28330	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	8	5	6	2	86	0	1	0	0	0	0	1	5	8	6	1	5	4
880	  4021.96453	9.1468E-25	3	  4021.96442	 0.00008	5	-0.00011	  4022.05190	8.3407E-25	   994.76920	  5016.82110	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	9	4	3	3	127	0	0	0	0	0	0	0	1	10	5	6	6	4
881	  4021.97793	4.0489E-25	3																																				
882	  4022.08253	2.2237E-25	3																																				
883	  4022.18025	5.5803E-25	3																																				
884	  4022.23336	2.8321E-25	3																																				
885	  4022.29089	1.8881E-25	3																																				
886	  4022.38220	1.4371E-24	3	  4022.38232	 0.00008	6	 0.00012	  4022.35078	1.4449E-24	   551.32010	  4573.67090	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	6	4	3	6	86	0	0	0	0	0	0	1	5	7	1	6	3	5
887	  4022.55239	6.1048E-25	3	  4022.55468	 0.00047	2	 0.00229	  4022.45181	7.6337E-25	  1452.81250	  5475.26430	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	13	13	6	3	158	0	0	0	0	0	0	0	1	14	13	6	6	2
888	  4022.56318	3.1048E-25	3																																				
889	  4022.80874	1.4685E-25	3																																				
890	  4022.84341	6.9230E-25	3	  4022.84432	 0.00079	2	 0.00091	  4022.55325	5.0054E-25	  1290.91570	  5313.46900	0202_00_aA2"<-0100	1	0	2	0	2	0	0	1	5	5	4	3	6	131	0	1	0	0	0	0	0	1	6	4	3	3	6
891	  4022.95984	2.9160E-25	3																																				
892	  4023.04710	3.8811E-25	3	  4023.04664	 0.00013	2	-0.00046	  4022.76495	3.3710E-25	  1486.74320	  5509.50810	0202_00_aA2"<-0100	1	0	2	0	2	0	0	1	5	6	0	1	5	92	0	1	0	0	0	0	1	5	7	3	4	2	5
893	  4023.14170	3.2727E-25	3	  4023.14122	 0.00035	4	-0.00048	  4023.16576	3.7894E-25	   679.28700	  4702.45270	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	8	3	4	2	49	0	0	0	0	0	0	0	1	8	3	5	5	2
894	  4023.18745	1.9243E-23	3	  4023.18648	 0.00057	6	-0.00097	  4023.20557	2.1713E-23	   653.86950	  4677.07500	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	7	4	3	6	99	0	0	0	0	0	0	0	1	8	4	3	3	4
895	  4023.18746	3.8574E-24	3	  4023.19168	 0.00011	5	 0.00422	  4023.15813	4.3456E-24	   521.62170	  4544.77980	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	6	5	6	2	39	0	0	0	0	0	0	0	1	7	3	5	5	2
896	  4023.21187	3.6630E-24	3	  4023.21189	 0.00002	3	 0.00002	  4023.05714	3.1964E-24	   183.82940	  4206.88650	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	3	3	5	6	43	0	0	0	0	0	0	0	1	4	2	3	3	2
897	  4023.35594	3.5244E-25	3	  4023.35631	 0.00026	4	 0.00037	  4023.44706	4.3704E-25	  1242.49690	  5265.94390	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	10	1	6	3	150	0	0	0	0	0	0	1	5	11	4	3	6	6
898	  4023.37413	2.6434E-24	3	  4023.37430	 0.00012	4	 0.00017	  4023.14329	2.8276E-24	  1498.84870	  5521.99200	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	12	9	5	5	86	0	0	0	0	0	0	1	5	13	9	4	2	2
899	  4023.51511	3.5454E-25	3																																				
900	  4023.53780	2.3916E-25	3																																				
901	  4023.55519	9.6503E-25	3	  4023.55499	 0.00009	2	-0.00020	  4023.36471	6.2634E-25	  1242.09930	  5265.46400	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	3	4	6	150	0	0	0	0	0	0	0	1	11	4	3	3	6
902	  4023.64402	6.5034E-25	3	  4023.64278	 0.00045	4	-0.00124	  4023.38078	5.4316E-25	  1027.53040	  5050.91120	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	9	2	3	3	131	0	0	0	0	0	0	1	5	10	4	3	6	5
903	  4023.69187	8.3496E-25	3																																				
904	  4023.71104	3.2727E-25	3	  4023.71109	 0.00005	3	 0.00005	  4023.81486	3.9389E-25	  1444.46530	  5468.28020	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	11	2	3	6	166	0	0	0	0	0	0	1	5	12	5	6	3	5
905	  4023.74267	1.4979E-24	3	  4023.74305	 0.00001	3	 0.00038	  4023.62052	1.5451E-24	  1544.63490	  5568.25540	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	13	13	6	5	80	0	0	0	0	0	0	0	1	14	12	2	2	1
906	  4023.75381	5.2866E-25	3	  4023.75429	 0.00014	5	 0.00048	  4023.49167	4.5065E-25	  1171.22880	  5194.72050	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	4	3	2	68	0	0	0	0	0	0	1	5	11	6	1	5	2
907	  4023.94224	2.0366E-23	3	  4023.94224	 0.00002	7	 0.00000	  4023.98321	1.8975E-23	   294.63050	  4318.61370	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	4	1	6	6	57	0	0	0	0	0	0	1	5	5	1	6	3	4
908	  4024.10970	4.5943E-25	3																																				
909	  4024.19733	2.7062E-25	3																																				
910	  4024.28113	1.7960E-23	3	  4024.28115	 0.00003	6	 0.00002	  4024.22263	1.7871E-23	   416.88810	  4441.11080	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	5	3	4	2	40	0	0	0	0	0	0	1	5	6	0	1	5	3
911	  4024.38002	7.9581E-24	3	  4024.38006	 0.00003	3	 0.00004	  4024.16379	7.6850E-24	  1084.57540	  5108.73920	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	9	1	6	2	74	0	0	0	0	0	0	1	5	10	0	1	5	4
912	  4024.42459	4.0849E-23	3	  4024.42483	 0.00028	6	 0.00024	  4024.49982	4.0180E-23	   283.61690	  4308.11670	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	4	2	3	3	57	0	0	0	0	0	0	1	5	5	2	3	6	3
913	  4024.43769	3.4195E-25	3																																				
914	  4024.48170	4.0279E-25	3																																				
915	  4024.51309	4.5524E-25	3	  4024.51314	 0.00000	3	 0.00005	  4024.64397	4.4564E-25	  1752.41480	  5777.05880	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	12	1	6	2	95	0	0	0	0	0	0	0	1	13	3	5	5	4
916	  4024.71127	1.8042E-25	3																																				
917	  4024.74993	2.3182E-24	3	  4024.74986	 0.00016	7	-0.00007	  4024.75144	2.2900E-24	   708.23780	  4732.98920	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	7	1	6	3	104	0	0	0	0	0	0	0	1	8	1	6	6	6
918	  4025.01719	2.1818E-25	3																																				
919	  4025.02894	4.5104E-25	3																																				
920	  4025.13963	8.3106E-24	3	  4025.13976	 0.00021	2	 0.00013	  4025.26097	8.4024E-24	   937.95600	  4963.21690	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	9	5	6	125	0	0	0	0	0	0	0	1	11	10	3	3	2
921	  4025.18522	1.8671E-25	3																																				
922	  4025.23671	1.5986E-24	3	  4025.23703	 0.00032	2	 0.00032	  4025.03563	1.3416E-24	  1673.50560	  5698.54120	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	9	7	6	6	195	0	1	0	0	0	0	1	5	9	7	6	3	8
923	  4025.25401	1.1003E-23	3	  4025.25403	 0.00002	3	 0.00002	  4025.10600	1.0605E-23	   293.96910	  4319.07510	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	4	2	3	3	58	0	0	0	0	0	0	0	1	5	1	6	6	4
924	  4025.44985	2.3937E-24	3	  4025.44971	 0.00005	4	-0.00014	  4025.08694	2.6710E-24	   856.65530	  4881.74230	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	8	1	6	5	61	0	0	0	0	0	0	1	5	9	3	4	2	3
925	  4025.46539	7.8880E-25	3	  4025.46539	          	1	 0.00000	  4025.37171	1.0651E-24	  2086.03020	  6111.40190	0011_11_aE"<-0100	1	0	0	1	1	1	1	1	6	12	11	6	3	237	0	1	0	0	0	0	0	1	13	13	6	6	10
926	  4025.50595	1.1215E-23	3	  4025.50595	          	1	-0.00000	  4025.42784	1.0942E-23	  1338.66260	  5364.09040	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	7	7	6	6	151	0	1	0	0	0	0	1	5	7	7	6	3	6
927	  4025.58930	2.9790E-25	3																																				
928	  4025.76027	5.6110E-23	3	  4025.76027	          	1	-0.00000	  4025.61371	5.5371E-23	  1248.92000	  5274.53370	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	6	6	2	2	63	0	1	0	0	0	0	1	5	6	6	1	5	4
929	  4025.90289	9.8810E-25	3	  4025.90180	 0.00008	3	-0.00109	  4025.83955	6.9413E-25	   105.18360	  4131.02320	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	4	3	3	51	0	0	0	0	0	0	1	5	3	2	3	6	1
930	  4025.91218	1.9112E-24	3	  4025.91183	 0.00032	4	-0.00035	  4025.98429	1.7634E-24	  1124.03090	  5150.01520	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	6	1	3	139	0	0	0	0	0	0	0	1	11	7	6	6	4
931	  4026.01993	1.6532E-24	3	  4026.01966	 0.00018	2	-0.00027	  4025.95726	1.4661E-24	   166.08740	  4192.04460	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	1	6	5	29	0	0	0	0	0	0	1	5	4	3	4	2	1
932	  4026.05452	5.9370E-25	3																																				
933	  4026.10473	7.6153E-25	3	  4026.10433	 0.00075	2	-0.00040	  4026.10133	7.3247E-25	  1512.58620	  5538.68750	0011_11_aE"<-0100	1	0	0	1	1	1	1	1	6	7	4	3	5	88	0	1	0	0	0	0	0	1	8	6	2	2	3
934	  4026.19613	3.6293E-25	3																																				
935	  4026.24690	1.5524E-25	3																																				
936	  4026.27089	5.7482E-25	3	  4026.27089	          	1	 0.00000	  4026.22318	6.0797E-25	  1715.55390	  5741.77710	0011_11_aE"<-0100	1	0	0	1	1	1	1	1	6	9	7	6	2	109	0	1	0	0	0	0	0	1	10	9	5	5	5
937	  4026.34452	4.0365E-24	3	  4026.34452	 0.00001	3	 0.00000	  4026.12580	4.3243E-24	  1617.34150	  5643.46730	0210_10_sE'<-0100	1	0	2	1	0	1	0	0	3	7	4	3	2	106	0	1	0	0	0	0	0	1	8	3	5	5	5
938	  4026.40584	2.1252E-24	3	  4026.40557	 0.00069	7	-0.00027	  4026.23662	2.2520E-24	   697.91560	  4724.15220	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	7	0	2	3	103	0	0	0	0	0	0	1	5	8	2	3	6	5
939	  4026.62877	2.5384E-25	3																																				
940	  4026.66325	1.7790E-24	3	  4026.66314	 0.00011	3	-0.00011	  4026.60201	1.6309E-24	   166.08740	  4192.68940	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	5	6	5	28	0	0	0	0	0	0	1	5	4	3	4	2	1
941	  4026.85228	1.7412E-25	3	  4026.85242	 0.00014	3	 0.00014	  4026.50213	3.1187E-25	  1243.76280	  5270.26490	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	12	10	3	2	70	0	0	0	0	0	0	0	1	12	9	5	5	2
942	  4026.89118	1.0364E-24	3	  4026.89105	 0.00017	5	-0.00013	  4026.70513	1.0714E-24	  1559.50120	  5586.20630	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	12	8	3	3	169	0	0	0	0	0	0	1	5	13	8	3	6	4
943	  4026.94691	6.5454E-25	3	  4026.94691	          	1	 0.00000	  4026.93430	4.8521E-25	  2258.35830	  6285.29260	0011_11_aE"<-0100	1	0	0	1	1	1	1	1	6	13	12	1	6	253	0	1	0	0	0	0	0	1	14	14	3	3	11
944	  4026.98164	3.5244E-25	3																																				
945	  4027.01476	1.9300E-25	3																																				
946	  4027.09479	5.4335E-25	3																																				
947	  4027.13214	2.2574E-24	3	  4027.13224	 0.00015	4	 0.00010	  4027.05029	2.2713E-24	   265.22630	  4292.27660	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	1	6	5	29	0	0	0	0	0	0	1	5	5	3	4	2	1
948	  4027.14042	6.1048E-25	3	  4027.13958	 0.00045	6	-0.00084	  4027.07727	6.0846E-25	   874.14790	  4901.22520	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	8	2	3	6	119	0	0	0	0	0	0	0	1	9	2	3	3	5
949	  4027.16974	1.0951E-24	3	  4027.16960	 0.00004	2	-0.00014	  4026.85215	1.0776E-24	   853.20840	  4880.06050	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	9	5	6	121	0	0	0	0	0	0	0	1	10	8	3	3	2
950	  4027.27374	3.4195E-25	3																																				
951	  4027.31052	7.5733E-25	3																																				
952	  4027.33554	1.7650E-23	3	  4027.33552	 0.00002	5	-0.00002	  4027.17943	1.6986E-23	   550.75890	  4577.93830	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	6	0	1	3	88	0	0	0	0	0	0	0	1	7	1	6	6	5
953	  4027.34287	8.1608E-25	3	  4027.34327	 0.00028	2	 0.00040	  4026.86836	9.5351E-25	  1618.01690	  5644.88530	0202_02_aE"<-0100	1	0	2	0	2	0	2	1	6	9	9	5	3	183	0	1	0	0	0	0	1	5	9	8	3	6	7
954	  4027.39750	4.0279E-25	3	  4027.39651	 0.00046	2	-0.00099	  4027.40850	3.9403E-25	   653.86950	  4681.27800	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	8	4	3	6	104	0	0	0	0	0	0	0	1	8	4	3	3	4
955	  4027.52198	4.8461E-25	3																																				
956	  4027.58321	3.7677E-23	3	  4027.58319	 0.00007	2	-0.00002	  4027.42865	3.7864E-23	  1171.41400	  5198.84270	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	5	6	6	118	0	1	0	0	0	0	1	5	5	5	6	3	6
957	  4027.65586	1.0825E-24	3	  4027.65658	 0.00041	2	 0.00072	  4027.48379	1.1530E-24	  1721.33590	  5748.81970	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	9	5	6	2	110	0	1	0	0	0	0	1	5	9	6	1	5	5
958	  4027.84284	9.6083E-25	3																																				
959	  4028.01638	1.0867E-24	3	  4028.01638	          	1	-0.00000	  4027.97730	1.1882E-24	  1554.74320	  5582.72050	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	9	8	3	5	85	0	1	0	0	0	0	1	5	9	9	4	2	5
