C.1 	  C.2         	C.3       	C.4	  C.5         	 C.6     	C.7	 C.8     	  C.9         	C.10      	  C.11        	  C.12        	C.13              	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32	C.33	C.34	C.35	C.36	C.37	C.38	C.39	C.40
40	  3908.62704	7.3636E-25	3	  3908.62724	 0.00008	2	 0.00020	  3908.35606	7.6666E-25	  1505.10040	  5413.45650	0401_01_sE'<-0100	1	0	4	0	1	0	1	0	3	6	4	3	3	155	0	1	0	0	0	0	1	5	7	2	3	6	10
41	  3909.04945	2.4965E-25	3																																				
42	  3909.13486	3.4532E-24	3	  3909.13508	 0.00007	2	 0.00022	  3908.98409	3.6199E-24	  1289.85860	  5198.84270	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	5	6	6	118	0	1	0	0	0	0	1	5	6	5	6	3	5
43	  3909.17714	5.2866E-24	3	  3909.17668	 0.00011	3	-0.00046	  3909.11750	2.4464E-24	   283.57190	  4192.68940	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	5	6	5	28	0	0	0	0	0	0	0	1	6	6	2	2	1
44	  3909.74978	2.4755E-25	3																																				
45	  3910.37530	4.2167E-25	3	  3910.37545	 0.00018	2	 0.00015	  3909.92260	5.1306E-25	  1936.79020	  5846.71280	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	3	1	6	6	111	0	2	0	0	0	0	1	5	2	1	6	3	9
46	  3910.69398	2.3706E-25	3																																				
47	  3910.76570	8.3076E-25	3																																				
48	  3910.94776	4.5734E-25	3	  3910.94783	 0.00006	3	 0.00007	  3910.58688	4.8057E-25	  1516.09240	  5426.67930	0202_00_aA2"<-0100	1	0	2	0	2	0	0	1	5	6	4	3	6	154	0	1	0	0	0	0	1	5	7	1	6	3	10
49	  3911.01330	3.5034E-25	3	  3911.01341	 0.00010	2	 0.00011	  3910.58940	4.0908E-25	  1926.23370	  5836.82310	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	3	2	3	3	110	0	2	0	0	0	0	1	5	2	2	3	6	9
50	  3911.04451	3.3356E-25	3																																				
51	  3911.14385	1.2587E-24	3	  3911.14370	 0.00015	3	-0.00015	  3911.06772	1.3552E-24	  1070.37270	  4981.44050	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	10	8	3	3	127	0	0	0	0	0	0	1	5	11	8	3	6	3
52	  3911.19186	1.4895E-25	3																																				
53	  3911.28246	2.3811E-24	3	  3911.28225	 0.00010	2	-0.00021	  3911.22184	1.2351E-24	   264.51660	  4175.73840	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	2	3	2	23	0	0	0	0	0	0	0	1	5	3	5	5	1
54	  3911.48749	1.9930E-25	3	  3911.49081	 0.00042	3	 0.00332	  3911.21652	2.8231E-25	  1612.64020	  5523.85670	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	12	7	6	6	166	0	0	0	0	0	0	1	5	13	7	6	3	5
55	  3911.67402	6.6293E-25	3	  3911.67305	 0.00002	3	-0.00097	  3911.43387	5.8413E-25	   621.06410	  4532.49800	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	7	6	2	3	89	0	0	0	0	0	0	0	1	8	5	6	6	3
56	  3911.89636	4.2377E-25	3																																				
57	  3911.96130	8.7691E-25	3	  3911.96113	 0.00016	3	-0.00017	  3911.88717	8.6724E-25	   283.61690	  4195.50400	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	0	1	3	53	0	0	0	0	0	0	1	5	5	2	3	6	3
58	  3912.11992	1.5431E-24	4																																				
59	  3912.42478	4.0172E-25	4	  3912.42626	 0.00012	5	 0.00148	  3912.55407	2.3112E-25	  1500.75220	  5413.30630	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	11	5	6	5	75	0	0	0	0	0	0	1	5	12	3	4	2	4
60	  3912.70913	7.8278E-25	4	  3912.71016	 0.00155	2	 0.00103	  3912.70115	7.9874E-25	  1165.63720	  5078.33840	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	3	1	6	2	44	0	1	0	0	0	0	1	5	4	0	1	5	4
61	  3913.04443	1.7832E-25	3																																				
62	  3913.34924	8.4335E-25	3	  3913.34864	 0.00038	2	-0.00060	  3913.29579	8.2841E-25	   522.22220	  4435.51800	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	7	5	6	5	40	0	0	0	0	0	0	1	5	7	3	4	2	2
63	  3913.70500	2.6392E-24	3	  3913.70505	 0.00005	3	 0.00005	  3913.68594	2.2548E-24	   463.01180	  4376.69780	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	6	5	6	3	75	0	0	0	0	0	0	0	1	7	5	6	6	2
