C.1	C.2       	C.3    	C.4       	C.5               	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32
1	3920.18169	0.00003	4.5799E-24	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	5	1	6	3	66	0	0	0	0	0	0	0	1	6	1	6	6	4
1	3920.71705		1.5734E-24	0202_02_sE'<-0100	1	0	2	0	2	0	2	0	3	4	1	6	5	46	0	1	0	0	0	0	0	1	3	0	2	2	3
1	3921.15600	0.00248	9.7132E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	6	5	6	5	40	0	0	0	0	0	0	1	5	6	3	4	2	2
1	3921.34382	0.00056	1.0531E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	2	3	3	64	0	0	0	0	0	0	1	5	6	4	3	6	2
1	3921.89042	0.00006	6.8459E-24	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	2	3	3	128	0	1	0	0	0	0	1	5	6	2	3	6	8
1	3921.93004	     	1.3426E-24																												
1	3922.02952		4.7832E-25	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	12	6	2	2	84	0	0	0	0	0	0	1	5	13	6	1	5	3
1	3922.06728	0.00010	4.6573E-25	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	6	6	2	3	76	0	0	0	0	0	0	0	1	7	5	6	6	2
1	3922.78166	0.00004	4.6387E-24	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	5	2	3	6	69	0	0	0	0	0	0	0	1	6	2	3	3	3
1	3922.81440	     	1.8251E-25																												
1	3923.09225	0.00054	4.5104E-25	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	5	6	5	74	0	0	0	0	0	0	1	5	11	3	4	2	3
1	3923.41750	0.00043	1.2441E-24	0202_00_sA1'<-0100	1	0	2	0	2	0	0	0	1	6	3	5	5	64	0	1	0	0	0	0	1	5	5	3	4	2	3
1	3923.45233	0.00007	2.6223E-25	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	3	2	3	5	34	0	1	0	0	0	0	1	5	4	3	4	2	2
1	3923.72833	0.00007	7.2111E-24	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	1	6	6	128	0	1	0	0	0	0	1	5	6	1	6	3	8
1	3923.75332	0.00001	3.2141E-24	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	8	8	3	3	98	0	0	0	0	0	0	1	5	9	8	3	6	1
1	3924.18828		8.7272E-25	0202_02_sE'<-0100	1	0	2	0	2	0	2	0	3	8	7	6	5	77	0	1	0	0	0	0	0	1	7	6	2	2	4
1	3924.34190	0.00004	1.4392E-23	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	0	2	2	68	0	1	0	0	0	0	1	5	6	0	1	5	6
1	3924.38821	0.00034	7.2377E-25	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	8	5	6	6	108	0	0	0	0	0	0	0	1	9	4	3	3	4
1	3924.59659	     	3.0629E-25																												
1	3924.74920	0.00008	1.3867E-24	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	10	7	6	6	133	0	0	0	0	0	0	1	5	11	7	6	3	4
1	3924.83489	0.00015	6.1258E-25	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	6	0	1	5	43	0	0	0	0	0	0	1	5	7	3	4	2	2
1	3924.99327	0.00007	3.3756E-24	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	6	6	1	5	41	0	0	0	0	0	0	0	1	7	6	2	2	1
1	3925.38849	0.00060	5.9370E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	0	2	3	40	0	0	0	0	0	0	0	1	4	1	6	6	3
1	3925.50016	     	4.0699E-25																												
1	3925.81644	0.00008	2.9350E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	4	3	3	51	0	0	0	0	0	0	0	1	5	5	6	6	1
1	3925.97183	     	1.5105E-25																												
1	3926.02480	     	2.2867E-25																												
1	3926.26503	     	5.4335E-25																												
1	3926.60090	     	4.2167E-25																												
1	3926.81189	0.00070	2.6853E-25	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	11	0	2	2	86	0	0	0	0	0	0	1	5	12	0	1	5	5
1	3926.88093	0.00018	2.4399E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	1	6	5	29	0	0	0	0	0	0	1	5	5	3	4	2	1
1	3927.04610	0.00020	6.9230E-25	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	12	9	4	2	75	0	0	0	0	0	0	0	1	13	9	5	5	2
1	3927.28357	0.00003	8.8603E-24	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	5	3	4	2	36	0	0	0	0	0	0	0	1	6	3	5	5	2
1	3927.29960	     	4.5524E-25																												
1	3927.35734	0.00012	6.3566E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	8	6	1	3	99	0	0	0	0	0	0	1	5	9	8	3	6	1
1	3927.52441	0.00011	7.3216E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	5	6	5	28	0	0	0	0	0	0	1	5	5	3	4	2	1
1	3928.05226	0.00014	4.5524E-25	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	4	3	2	68	0	0	0	0	0	0	0	1	11	3	5	5	3
1	3928.65449	     	5.7482E-25																												
1	3929.02699	0.00016	1.2713E-24	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	11	6	2	2	80	0	0	0	0	0	0	1	5	12	6	1	5	3
1	3929.12215	     	3.6713E-25																												
1	3929.15692	0.00001	8.3076E-25	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	11	10	3	6	136	0	0	0	0	0	0	0	1	12	10	3	3	2
1	3929.34805	0.00276	6.0838E-25	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	4	2	3	3	145	0	2	0	0	0	0	1	5	3	2	3	6	11
1	3929.61736		6.0629E-25	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	4	3	5	5	76	0	2	0	0	0	0	1	5	3	3	4	2	8
1	3929.88699	     	5.4964E-25																												
1	3929.89763	0.00003	1.2860E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	1	6	6	41	0	0	0	0	0	0	0	1	4	2	3	3	2
1	3930.10235		4.0489E-25	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	4	1	6	6	143	0	2	0	0	0	0	1	5	3	1	6	3	11
1	3930.45064	     	2.1608E-25																												
1	3930.52238	0.00056	8.4335E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	7	2	3	2	47	0	0	0	0	0	0	1	5	8	6	1	5	1
1	3930.66683	0.00002	5.4716E-24	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	4	4	3	3	98	0	1	0	0	0	0	1	5	5	4	3	6	6
1	3930.89159	     	1.8461E-25																												
1	3931.02398	     	2.6853E-25																												
1	3931.35977	0.00076	4.3426E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	6	1	6	6	75	0	0	0	0	0	0	1	5	7	5	6	3	2
1	3931.66473	0.00012	4.6363E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	0	2	3	65	0	0	0	0	0	0	1	5	6	4	3	6	2
1	3931.71205	0.00020	3.2917E-24	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	9	7	6	6	116	0	0	0	0	0	0	1	5	10	7	6	3	3
1	3931.92346	     	3.4405E-25																												
1	3932.03873	     	1.1329E-25																												
1	3932.63890	     	1.3343E-24																												
1	3932.77214	     	9.0629E-25																												
1	3933.46283	0.00029	8.1188E-25	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	9	5	6	5	60	0	0	0	0	0	0	1	5	10	3	4	2	3
1	3933.48094	     	1.8671E-25																												
1	3933.65298	     	3.2936E-25																												
1	3933.85010	0.00003	1.2336E-24	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	7	5	6	6	94	0	0	0	0	0	0	0	1	8	4	3	3	4
1	3933.99629	0.00006	3.7323E-24	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	5	4	3	6	66	0	0	0	0	0	0	0	1	6	4	3	3	2
1	3934.44362	0.00107	4.9915E-25	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	4	3	3	146	0	0	0	0	0	0	1	5	11	2	3	6	7
1	3934.44558	0.00033	7.1085E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	6	4	3	3	74	0	0	0	0	0	0	1	5	6	2	3	6	3
1	3935.01845	0.00004	1.7035E-23	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	4	3	5	5	55	0	1	0	0	0	0	1	5	5	3	4	2	3
1	3935.30158	     	1.2168E-25																												
1	3935.59564	0.00001	4.1561E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	2	3	2	24	0	0	0	0	0	0	0	1	4	3	5	5	1
1	3935.74178	0.00060	8.2866E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	0	2	3	40	0	0	0	0	0	0	1	5	4	2	3	6	2
1	3935.80401	0.00071	6.1887E-25	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	12	8	3	6	163	0	0	0	0	0	0	0	1	13	8	3	3	4
1	3935.83744	0.00021	1.0846E-24	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	9	4	3	2	67	0	0	0	0	0	0	0	1	10	3	5	5	3
1	3936.02468	     	1.2377E-25																												
1	3936.25308	     	2.7272E-25																												
1	3936.35479	0.00016	3.4952E-24	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	10	6	2	2	66	0	0	0	0	0	0	1	5	11	6	1	5	2
1	3936.58483	     	2.3916E-25																												
1	3937.40163	     	2.6223E-25																												
1	3937.94218	0.00021	3.0756E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	6	4	3	2	34	0	0	0	0	0	0	1	5	7	6	1	5	1
1	3938.08465	0.00003	1.0176E-23	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	4	2	3	3	103	0	1	0	0	0	0	1	5	5	2	3	6	8
1	3938.44126	0.00057	5.8740E-25	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	8	3	5	5	59	0	0	0	0	0	0	0	1	9	0	2	2	4
1	3938.55803	0.00007	1.6490E-24	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	11	9	4	2	73	0	0	0	0	0	0	0	1	12	9	5	5	2
1	3939.20128	0.00006	4.4708E-24	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	8	7	6	6	102	0	0	0	0	0	0	1	5	9	7	6	3	2
