        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"         Source
9614.40505  0.01  0.01     2     0     1     0    1    0   4   0  a    E"  822     0     0     0     0    0    0   5   2  s    E'    3 17BaPoYuTe.554
9701.73472  0.01  0.01     2     0     1     0    1    0   4   0  a    E"  822     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.556
9603.90319  0.01  0.01     2     0     1     0    1    0   4   1  a    E'  834     0     0     0     0    0    0   5   1  s    E"    4 17BaPoYuTe.553
9792.68948  0.01  0.01     2     0     1     0    1    0   4   1  a    E'  834     0     0     0     0    0    0   3   2  a    E"    1 17BaPoYuTe.559
9782.33942  0.01  0.01     2     0     1     0    1    0   4   1  a    E'  834     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.558
9693.83805  0.01  0.01     2     0     0     2    0    2   6   6  s    E' 1112     0     0     0     0    0    0   5   5  s    E"    1 17BaPoYuTe.262
9575.65139  0.01  0.01     2     0     0     2    0    2   6   6  a    E" 1106     0     0     0     0    0    0   6   5  a    E'    1 17BaPoYuTe.384
9694.69284  0.01  0.01     2     0     0     2    0    2   6   6  a    E" 1106     0     0     0     0    0    0   5   5  a    E'    1 17BaPoYuTe.389
9662.32247  0.01  0.01     1     0     1     2    1    2   4   3  a    E'  836     0     0     0     0    0    0   5   4  a    E"    2 17BaPoYuTe.133
9761.56799  0.01  0.01     1     0     1     2    1    2   4   3  a    E'  836     0     0     0     0    0    0   4   4  a    E"    1 17BaPoYuTe.137
9619.91093  0.01  0.01     2     0     0     2    0    2   5   3  s    E"  980     0     0     0     0    0    0   5   2  s    E'    3 17BaPoYuTe.253
9501.20027  0.01  0.01     2     0     0     2    0    2   5   3  s    E"  980     0     0     0     0    0    0   6   2  s    E'    3 17BaPoYuTe.250
9719.02035  0.01  0.01     2     0     0     2    0    2   5   3  s    E"  980     0     0     0     0    0    0   4   2  s    E'    2 17BaPoYuTe.258
9621.19532  0.01  0.01     1     0     1     2    1    2   4   3  s    E"  827     0     0     0     0    0    0   5   2  s    E'    3  17BaPoYuTe.20
9720.30765  0.01  0.01     1     0     1     2    1    2   4   3  s    E"  827     0     0     0     0    0    0   4   2  s    E'    2  17BaPoYuTe.23
9799.71575  0.01  0.01     1     0     1     2    1    2   4   3  s    E"  827     0     0     0     0    0    0   3   2  s    E'    1  17BaPoYuTe.26
9503.14586  0.01  0.01     2     0     0     2    0    2   5   3  a    E'  970     0     0     0     0    0    0   6   2  a    E"    3 17BaPoYuTe.365
9621.80792  0.01  0.01     2     0     0     2    0    2   5   3  a    E'  970     0     0     0     0    0    0   5   2  a    E"    3 17BaPoYuTe.369
9742.60487  0.01  0.01     1     0     1     2    1    2   4   2  a   A2"  435     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.143
9632.02978  0.01  0.01     2     0     1     0    1    0   5   5  s   A2"  472     0     0     0     0    0    0   6   6  s   A2'    1 17BaPoYuTe.482
9635.32097  0.01  0.01     2     0     1     0    1    0   5   5  a   A2'  508     0     0     0     0    0    0   6   6  a   A2"    1 17BaPoYuTe.574
9735.90819  0.01  0.01     1     0     1     2    1    2   4   2  a    E"  832     0     0     0     0    0    0   4   2  s    E'    2 17BaPoYuTe.139
9636.80016  0.01  0.01     1     0     1     2    1    2   4   2  a    E"  832     0     0     0     0    0    0   5   2  s    E'    3 17BaPoYuTe.136
9756.62551  0.01  0.01     1     0     1     2    1    2   4   2  s   A2'  400     0     0     0     0    0    0   4   3  s   A2"    1  17BaPoYuTe.24
9836.09631  0.01  0.01     1     0     1     2    1    2   4   2  s   A2'  400     0     0     0     0    0    0   3   3  s   A2"    1  17BaPoYuTe.27
9657.44468  0.01  0.01     1     0     1     2    1    2   4   2  s   A2'  400     0     0     0     0    0    0   5   3  s   A2"    1  17BaPoYuTe.21
9628.16539  0.01  0.01     1     0     1     2    1    2   4   2  s    E'  843     0     0     0     0    0    0   5   1  s    E"    4  17BaPoYuTe.29
9738.90958  0.01  0.01     1     0     1     2    1    2   4   1  s    E"  834     0     0     0     0    0    0   4   2  s    E'    2  17BaPoYuTe.25
9639.81105  0.01  0.01     1     0     1     2    1    2   4   1  s    E"  834     0     0     0     0    0    0   5   2  s    E'    3  17BaPoYuTe.22
9565.13793  0.01  0.01     2     0     0     2    0    2   5   2  s    E'  978     0     0     0     0    0    0   6   4  a    E"    2 17BaPoYuTe.251
9684.01888  0.01  0.01     2     0     0     2    0    2   5   2  s    E'  978     0     0     0     0    0    0   5   4  a    E"    2 17BaPoYuTe.254
9629.28679  0.01  0.01     1     0     1     2    1    2   4   2  a    E"  835     0     0     0     0    0    0   5   1  a    E'    4 17BaPoYuTe.134
9807.63892  0.01  0.01     1     0     1     2    1    2   4   2  a    E"  835     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.141
9724.66073  0.01  0.01     1     0     1     2    1    2   4   3  a   A2'  403     0     0     0     0    0    0   4   0  a   A2"    2 17BaPoYuTe.146
9660.52497  0.01  0.01     2     0     1     0    1    0   5   4  s   A2'  509     0     0     0     0    0    0   5   3  s   A2"    1 17BaPoYuTe.475
9759.71120  0.01  0.01     2     0     1     0    1    0   5   4  s   A2'  509     0     0     0     0    0    0   4   3  s   A2"    1 17BaPoYuTe.479
9542.69221  0.01  0.01     2     0     1     0    1    0   5   4  a   A2"  475     0     0     0     0    0    0   6   3  a   A2'    2 17BaPoYuTe.564
9760.58210  0.01  0.01     2     0     1     0    1    0   5   4  a   A2"  475     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.570
9661.44607  0.01  0.01     2     0     1     0    1    0   5   4  a   A2"  475     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.567
9632.39678  0.01  0.01     1     0     1     2    1    2   4   0  a    E"  837     0     0     0     0    0    0   5   1  a    E'    4 17BaPoYuTe.135
9731.41701  0.01  0.01     1     0     1     2    1    2   4   0  a    E"  837     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.138
9633.04078  0.01  0.01     2     0     0     2    0    2   5   2  a    E"  991     0     0     0     0    0    0   5   1  a    E'    4 17BaPoYuTe.377
9808.63812  0.01  0.01     1     0     1     2    1    2   4   1  s   A2"  440     0     0     0     0    0    0   3   0  s   A2'    2  17BaPoYuTe.30
9744.49586  0.01  0.01     1     0     1     2    1    2   4   1  a    E'  848     0     0     0     0    0    0   4   2  a    E"    2 17BaPoYuTe.145
9738.89298  0.01  0.01     1     0     1     2    1    2   4   0  s    E'  852     0     0     0     0    0    0   4   1  s    E"    3  17BaPoYuTe.32
9669.13624  0.01  0.01     2     0     0     2    0    2   5   2  a   A2"  476     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.378
9800.16035  0.01  0.01     1     0     1     2    1    2   5   5  s    E"  994     0     0     0     0    0    0   4   4  s    E'    1  17BaPoYuTe.45
9523.06849  0.01  0.01     2     0     0     2    0    2   5   1  a   A2'  513     0     0     0     0    0    0   6   0  a   A2"    3 17BaPoYuTe.366
9740.66297  0.01  0.01     2     0     0     2    0    2   5   1  a   A2'  513     0     0     0     0    0    0   4   0  a   A2"    2 17BaPoYuTe.373
9675.75452  0.01  0.01     2     0     0     2    0    2   5   2  s   A2'  514     0     0     0     0    0    0   5   3  s   A2"    1 17BaPoYuTe.246
9680.11040  0.01  0.01     2     0     0     2    0    2   5   1  s   A2"  479     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.256
9561.36174  0.01  0.01     2     0     0     2    0    2   5   1  s   A2"  479     0     0     0     0    0    0   6   3  a   A2'    2 17BaPoYuTe.252
9747.84815  0.01  0.01     1     0     1     2    1    2   4   1  a   A2'  408     0     0     0     0    0    0   4   0  a   A2"    2 17BaPoYuTe.147
9763.47099  0.01  0.01     2     0     0     2    0    2   5   1  s    E"  998     0     0     0     0    0    0   4   2  s    E'    2 17BaPoYuTe.245
9753.76382  0.01  0.01     2     0     0     2    0    2   5   0  s    E'  988     0     0     0     0    0    0   4   1  s    E"    3 17BaPoYuTe.259
9654.70409  0.01  0.01     2     0     0     2    0    2   5   0  s    E'  988     0     0     0     0    0    0   5   1  s    E"    4 17BaPoYuTe.255
9765.67878  0.01  0.01     2     0     0     2    0    2   5   1  a    E'  990     0     0     0     0    0    0   4   2  a    E"    2 17BaPoYuTe.376
9666.61915  0.01  0.01     2     0     0     2    0    2   5   1  a    E'  990     0     0     0     0    0    0   5   2  a    E"    3 17BaPoYuTe.372
9767.33977  0.01  0.01     2     0     0     2    0    2   5   0  a    E" 1001     0     0     0     0    0    0   4   2  s    E'    2 17BaPoYuTe.375
9668.23564  0.01  0.01     2     0     0     2    0    2   5   0  a    E" 1001     0     0     0     0    0    0   5   2  s    E'    3 17BaPoYuTe.371
9656.54419  0.01  0.01     2     0     0     2    0    2   5   0  a    E" 1001     0     0     0     0    0    0   5   1  a    E'    4 17BaPoYuTe.370
9537.93673  0.01  0.01     2     0     0     2    0    2   5   0  a    E" 1001     0     0     0     0    0    0   6   1  a    E'    4 17BaPoYuTe.367
9755.56552  0.01  0.01     2     0     0     2    0    2   5   0  a    E" 1001     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.374
9595.00022  0.01  0.01     2     0     0     2    0    2   6   5  s    E" 1126     0     0     0     0    0    0   6   4  s    E'    2 17BaPoYuTe.270
9713.93497  0.01  0.01     2     0     0     2    0    2   6   5  s    E" 1126     0     0     0     0    0    0   5   4  s    E'    2 17BaPoYuTe.273
9594.69842  0.01  0.01     2     0     0     2    0    2   6   5  a    E' 1135     0     0     0     0    0    0   6   4  a    E"    2 17BaPoYuTe.388
9713.58027  0.01  0.01     2     0     0     2    0    2   6   5  a    E' 1135     0     0     0     0    0    0   5   4  a    E"    2 17BaPoYuTe.392
9661.27007  0.01  0.01     2     0     1     0    1    0   5   3  s    E" 1004     0     0     0     0    0    0   5   1  a    E'    4 17BaPoYuTe.476
9772.07455  0.01  0.01     2     0     1     0    1    0   5   3  s    E" 1004     0     0     0     0    0    0   4   2  s    E'    2 17BaPoYuTe.480
9601.88589  0.01  0.01     1     0     1     2    1    2   5   5  a    E'  998     0     0     0     0    0    0   6   4  a    E"    2 17BaPoYuTe.148
9720.76245  0.01  0.01     1     0     1     2    1    2   5   5  a    E'  998     0     0     0     0    0    0   5   4  a    E"    2 17BaPoYuTe.154
9820.00937  0.01  0.01     1     0     1     2    1    2   5   5  a    E'  998     0     0     0     0    0    0   4   4  a    E"    1 17BaPoYuTe.158
9762.44339  0.01  0.01     1     0     1     2    1    2   4   0  s   A2'  411     0     0     0     0    0    0   4   0  a   A2"    2  17BaPoYuTe.33
9640.16845  0.01  0.01     2     0     1     0    1    0   6   6  s    E' 1139     0     0     0     0    0    0   6   5  s    E"    1 17BaPoYuTe.492
9759.26880  0.01  0.01     2     0     1     0    1    0   6   6  s    E' 1139     0     0     0     0    0    0   5   5  s    E"    1 17BaPoYuTe.497
9641.76154  0.01  0.01     2     0     1     0    1    0   6   6  a    E" 1130     0     0     0     0    0    0   6   5  a    E'    1 17BaPoYuTe.584
9760.80350  0.01  0.01     2     0     1     0    1    0   6   6  a    E" 1130     0     0     0     0    0    0   5   5  a    E'    1 17BaPoYuTe.588
9674.90702  0.01  0.01     1     0     1     2    1    2   5   5  a    E' 1002     0     0     0     0    0    0   5   1  s    E"    4 17BaPoYuTe.157
9773.97235  0.01  0.01     1     0     1     2    1    2   5   5  a    E' 1002     0     0     0     0    0    0   4   1  s    E"    3 17BaPoYuTe.164
9645.73613  0.01  0.01     1     0     1     2    1    2   5   4  s    E' 1002     0     0     0     0    0    0   6   5  s    E"    1  17BaPoYuTe.44
9765.51568  0.01  0.01     1     0     1     2    1    2   5   4  a    E" 1015     0     0     0     0    0    0   5   5  a    E'    1 17BaPoYuTe.156
9646.47913  0.01  0.01     1     0     1     2    1    2   5   4  a    E" 1015     0     0     0     0    0    0   6   5  a    E'    1 17BaPoYuTe.153
9688.83187  0.01  0.01     2     0     0     2    0    2   6   5  s   A2"  587     0     0     0     0    0    0   6   6  s   A2'    1 17BaPoYuTe.264
9552.64098  0.01  0.01     2     0     0     2    0    2   6   5  a   A2'  554     0     0     0     0    0    0   7   6  a   A2"    1 17BaPoYuTe.381
9691.45626  0.01  0.01     2     0     0     2    0    2   6   5  a   A2'  554     0     0     0     0    0    0   6   6  a   A2"    1 17BaPoYuTe.383
9593.61792  0.01  0.01     1     0     1     2    1    2   5   4  s   A2'  521     0     0     0     0    0    0   6   3  s   A2"    2  17BaPoYuTe.34
9712.42028  0.01  0.01     1     0     1     2    1    2   5   4  s   A2'  521     0     0     0     0    0    0   5   3  s   A2"    1  17BaPoYuTe.37
9811.60601  0.01  0.01     1     0     1     2    1    2   5   4  s   A2'  521     0     0     0     0    0    0   4   3  s   A2"    1  17BaPoYuTe.39
9782.62612  0.01  0.01     2     0     1     0    1    0   5   2  s    E' 1005     0     0     0     0    0    0   4   1  s    E"    3 17BaPoYuTe.483
9595.15942  0.01  0.01     2     0     1     0    1    0   5   2  s   A2'  521     0     0     0     0    0    0   6   3  s   A2"    2 17BaPoYuTe.481
9813.04900  0.01  0.01     1     0     1     2    1    2   5   4  a   A2"  486     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.165
9895.34429  0.01  0.01     1     0     1     2    1    2   3   2  a   A2"  335     0     0     0     0    0    0   3   3  a   A2'    1 17BaPoYuTe.125
9815.91879  0.01  0.01     1     0     1     2    1    2   3   2  a   A2"  335     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.119
9698.72113  0.01  0.01     2     0     0     2    0    2   7   7  s   A2"  614     0     0     0     0    0    0   6   6  s   A2'    1 17BaPoYuTe.276
9718.79975  0.01  0.01     2     0     1     0    1    0   5   2  a   A2"  487     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.569
9600.05290  0.01  0.01     2     0     1     0    1    0   5   2  a   A2"  487     0     0     0     0    0    0   6   3  a   A2'    2 17BaPoYuTe.566
9800.52135  0.01  0.01     1     0     1     2    1    2   5   3  a    E' 1009     0     0     0     0    0    0   4   2  a    E"    2 17BaPoYuTe.160
9701.45882  0.01  0.01     1     0     1     2    1    2   5   3  a    E' 1009     0     0     0     0    0    0   5   2  a    E"    3 17BaPoYuTe.155
9701.74952  0.01  0.01     2     0     0     2    0    2   7   7  a   A2'  650     0     0     0     0    0    0   6   6  a   A2"    1 17BaPoYuTe.409
9691.79466  0.01  0.01     2     0     1     0    1    0   5   1  s   A2"  489     0     0     0     0    0    0   5   0  s   A2'    2 17BaPoYuTe.484
9793.25738  0.01  0.01     2     0     1     0    1    0   5   1  a   A2'  525     0     0     0     0    0    0   4   0  a   A2"    2 17BaPoYuTe.572
9728.47842  0.01  0.01     2     0     0     2    0    2   6   4  a   A2"  592     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.390
9609.73016  0.01  0.01     2     0     0     2    0    2   6   4  a   A2"  592     0     0     0     0    0    0   6   3  a   A2'    2 17BaPoYuTe.385
9730.27451  0.01  0.01     2     0     0     2    0    2   6   4  s   A2'  558     0     0     0     0    0    0   5   3  s   A2"    1 17BaPoYuTe.274
9611.48046  0.01  0.01     2     0     0     2    0    2   6   4  s   A2'  558     0     0     0     0    0    0   6   3  s   A2"    2 17BaPoYuTe.271
9804.16793  0.01  0.01     2     0     1     0    1    0   5   0  a    E" 1027     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.573
9587.35265  0.01  0.01     2     0     1     0    1    0   5   0  s    E' 1019     0     0     0     0    0    0   6   1  s    E"    4 17BaPoYuTe.473
9706.01080  0.01  0.01     2     0     1     0    1    0   5   0  s    E' 1019     0     0     0     0    0    0   5   1  s    E"    4 17BaPoYuTe.477
9716.59036  0.01  0.01     2     0     1     0    1    0   5   1  a    E' 1019     0     0     0     0    0    0   5   2  a    E"    3 17BaPoYuTe.568
9805.30423  0.01  0.01     2     0     1     0    1    0   5   1  a    E' 1019     0     0     0     0    0    0   4   1  s    E"    3 17BaPoYuTe.571
9597.93311  0.01  0.01     2     0     1     0    1    0   5   1  a    E' 1019     0     0     0     0    0    0   6   2  a    E"    3 17BaPoYuTe.565
9720.12755  0.01  0.01     2     0     1     0    1    0   5   1  s    E" 1030     0     0     0     0    0    0   5   2  s    E'    3 17BaPoYuTe.485
9680.21360  0.01  0.01     2     0     0     2    0    2   6   4  a    E" 1142     0     0     0     0    0    0   6   5  a    E'    1 17BaPoYuTe.393
9681.19230  0.01  0.01     2     0     0     2    0    2   6   4  s    E' 1154     0     0     0     0    0    0   6   5  s    E"    1 17BaPoYuTe.263
9604.39738  0.01  0.01     1     0     1     2    1    2   5   3  s    E" 1032     0     0     0     0    0    0   6   2  s    E'    3  17BaPoYuTe.35
9822.21627  0.01  0.01     1     0     1     2    1    2   5   3  s    E" 1032     0     0     0     0    0    0   4   2  s    E'    2  17BaPoYuTe.40
9741.46757  0.01  0.01     2     0     1     0    1    0   6   5  s   A2"  594     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.501
9512.56393  0.01  0.01     2     0     1     0    1    0   6   5  s    E" 1145     0     0     0     0    0    0   7   4  s    E'    3 17BaPoYuTe.486
9651.01661  0.01  0.01     2     0     1     0    1    0   6   5  s    E" 1145     0     0     0     0    0    0   6   4  s    E'    2 17BaPoYuTe.489
9769.94936  0.01  0.01     2     0     1     0    1    0   6   5  s    E" 1145     0     0     0     0    0    0   5   4  s    E'    2 17BaPoYuTe.494
9745.40105  0.01  0.01     1     0     1     2    1    2   5   2  s   A2'  530     0     0     0     0    0    0   5   3  s   A2"    1  17BaPoYuTe.43
9514.07392  0.01  0.01     2     0     1     0    1    0   6   5  a    E' 1158     0     0     0     0    0    0   7   4  a    E"    3 17BaPoYuTe.576
9771.34266  0.01  0.01     2     0     1     0    1    0   6   5  a    E' 1158     0     0     0     0    0    0   5   4  a    E"    2 17BaPoYuTe.585
9652.46680  0.01  0.01     2     0     1     0    1    0   6   5  a    E' 1158     0     0     0     0    0    0   6   4  a    E"    2 17BaPoYuTe.581
9636.50696  0.01  0.01     2     0     1     0    1    0   6   5  a    E' 1158     0     0     0     0    0    0   7   7  s    E"    1 17BaPoYuTe.577
9612.79025  0.01  0.01     1     0     1     2    1    2   5   1  a    E' 1026     0     0     0     0    0    0   6   2  a    E"    3 17BaPoYuTe.151
9830.51704  0.01  0.01     1     0     1     2    1    2   5   1  a    E' 1026     0     0     0     0    0    0   4   2  a    E"    2 17BaPoYuTe.162
9849.01727  0.01  0.01     1     0     1     2    1    2   5   2  a   A2"  497     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.163
9631.12998  0.01  0.01     1     0     1     2    1    2   5   2  a   A2"  497     0     0     0     0    0    0   6   3  a   A2'    2 17BaPoYuTe.152
9538.53643  0.01  0.01     2     0     0     2    0    2   7   7  s    E" 1281     0     0     0     0    0    0   8   8  s    E'    1 17BaPoYuTe.275
9811.47081  0.01  0.01     1     0     1     2    1    2   6   6  s    E' 1161     0     0     0     0    0    0   5   5  s    E"    1  17BaPoYuTe.66
9815.14859  0.01  0.01     1     0     1     2    1    2   6   6  a    E" 1154     0     0     0     0    0    0   5   5  a    E'    1 17BaPoYuTe.178
9696.11254  0.01  0.01     1     0     1     2    1    2   6   6  a    E" 1154     0     0     0     0    0    0   6   5  a    E'    1 17BaPoYuTe.172
9826.58185  0.01  0.01     1     0     1     2    1    2   5   2  s    E' 1029     0     0     0     0    0    0   4   1  s    E"    3  17BaPoYuTe.41
9608.86617  0.01  0.01     1     0     1     2    1    2   5   2  s    E' 1029     0     0     0     0    0    0   6   1  s    E"    4  17BaPoYuTe.36
9822.49487  0.01  0.01     1     0     1     2    1    2   5   3  a   A2'  533     0     0     0     0    0    0   4   0  a   A2"    2 17BaPoYuTe.159
9604.90378  0.01  0.01     1     0     1     2    1    2   5   3  a   A2'  533     0     0     0     0    0    0   6   0  a   A2"    3 17BaPoYuTe.149
9725.17893  0.01  0.01     1     0     1     2    1    2   5   3  s   A2"  499     0     0     0     0    0    0   5   0  s   A2'    2  17BaPoYuTe.46
9827.62465  0.01  0.01     1     0     1     2    1    2   5   2  a    E" 1040     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.161
9609.99816  0.01  0.01     1     0     1     2    1    2   5   2  a    E" 1040     0     0     0     0    0    0   6   1  a    E'    4 17BaPoYuTe.150
9624.42901  0.01  0.01     2     0     0     2    0    2   6   3  s    E" 1157     0     0     0     0    0    0   6   2  s    E'    3 17BaPoYuTe.267
9743.14206  0.01  0.01     2     0     0     2    0    2   6   3  s    E" 1157     0     0     0     0    0    0   5   2  s    E'    3 17BaPoYuTe.272
9831.05223  0.01  0.01     1     0     1     2    1    2   5   1  s    E" 1042     0     0     0     0    0    0   4   1  a    E'    3  17BaPoYuTe.42
9743.73046  0.01  0.01     1     0     1     2    1    2   5   1  s    E" 1042     0     0     0     0    0    0   5   2  s    E'    3  17BaPoYuTe.38
9744.80986  0.01  0.01     2     0     0     2    0    2   6   3  a    E' 1165     0     0     0     0    0    0   5   2  a    E"    3 17BaPoYuTe.394
9735.99549  0.01  0.01     1     0     1     2    1    2   5   0  a    E" 1044     0     0     0     0    0    0   5   1  a    E'    4 17BaPoYuTe.167
9833.89222  0.01  0.01     1     0     1     2    1    2   5   1  a   A2'  536     0     0     0     0    0    0   4   0  a   A2"    2 17BaPoYuTe.166
9769.19587  0.01  0.01     1     0     1     2    1    2   6   5  a   A2'  565     0     0     0     0    0    0   5   3  s   A2"    1 17BaPoYuTe.176
9512.09303  0.01  0.01     1     0     1     2    1    2   6   5  a   A2'  565     0     0     0     0    0    0   7   3  s   A2"    2 17BaPoYuTe.168
9650.39751  0.01  0.01     1     0     1     2    1    2   6   5  a   A2'  565     0     0     0     0    0    0   6   3  s   A2"    2 17BaPoYuTe.171
9768.99947  0.01  0.01     1     0     1     2    1    2   6   5  s   A2"  599     0     0     0     0    0    0   5   3  a   A2'    1  17BaPoYuTe.60
9750.65263  0.01  0.01     1     0     1     2    1    2   6   5  s   A2"  599     0     0     0     0    0    0   6   6  s   A2'    1  17BaPoYuTe.54
9522.06329  0.01  0.01     2     0     1     0    1    0   6   4  s   A2'  569     0     0     0     0    0    0   7   3  s   A2"    2 17BaPoYuTe.487
9660.36717  0.01  0.01     2     0     1     0    1    0   6   4  s   A2'  569     0     0     0     0    0    0   6   3  s   A2"    2 17BaPoYuTe.490
9779.16943  0.01  0.01     2     0     1     0    1    0   6   4  s   A2'  569     0     0     0     0    0    0   5   3  s   A2"    1 17BaPoYuTe.495
9746.22285  0.01  0.01     1     0     1     2    1    2   5   1  s   A2"  504     0     0     0     0    0    0   5   0  s   A2'    2  17BaPoYuTe.47
9495.06649  0.01  0.01     2     0     0     2    0    2   6   2  s    E' 1175     0     0     0     0    0    0   7   1  s    E"    5 17BaPoYuTe.265
9633.20438  0.01  0.01     2     0     0     2    0    2   6   2  s    E' 1175     0     0     0     0    0    0   6   1  s    E"    4 17BaPoYuTe.268
9583.77606  0.01  0.01     2     0     0     2    0    2   7   6  s    E' 1286     0     0     0     0    0    0   7   5  s    E"    2 17BaPoYuTe.285
9722.42144  0.01  0.01     2     0     0     2    0    2   7   6  s    E' 1286     0     0     0     0    0    0   6   5  s    E"    1 17BaPoYuTe.293
9526.08538  0.01  0.01     2     0     1     0    1    0   6   4  a   A2"  605     0     0     0     0    0    0   7   3  a   A2'    2 17BaPoYuTe.578
9783.08201  0.01  0.01     2     0     1     0    1    0   6   4  a   A2"  605     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.586
9664.33116  0.01  0.01     2     0     1     0    1    0   6   4  a   A2"  605     0     0     0     0    0    0   6   3  a   A2'    2 17BaPoYuTe.582
9785.26681  0.01  0.01     1     0     1     2    1    2   6   6  a   A2"  606     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.183
9499.27778  0.01  0.01     2     0     0     2    0    2   6   2  a    E" 1170     0     0     0     0    0    0   7   1  a    E'    5 17BaPoYuTe.382
9637.36876  0.01  0.01     2     0     0     2    0    2   6   2  a    E" 1170     0     0     0     0    0    0   6   1  a    E'    4 17BaPoYuTe.386
9471.04798  0.01  0.01     2     0     1     0    1    0   7   7  s   A2"  630     0     0     0     0    0    0   8   6  s   A2'    1 17BaPoYuTe.505
9629.37509  0.01  0.01     2     0     1     0    1    0   7   7  s   A2"  630     0     0     0     0    0    0   7   6  s   A2'    1 17BaPoYuTe.511
9473.69657  0.01  0.01     2     0     1     0    1    0   7   7  a   A2'  665     0     0     0     0    0    0   8   6  a   A2"    1 17BaPoYuTe.592
9770.75756  0.01  0.01     2     0     1     0    1    0   7   7  a   A2'  665     0     0     0     0    0    0   6   6  a   A2"    1 17BaPoYuTe.603
9631.94488  0.01  0.01     2     0     1     0    1    0   7   7  a   A2'  665     0     0     0     0    0    0   7   6  a   A2"    1 17BaPoYuTe.596
9534.38155  0.01  0.01     2     0     0     2    0    2   6   2  s   A2'  575     0     0     0     0    0    0   7   3  s   A2"    2 17BaPoYuTe.266
9639.11635  0.01  0.01     2     0     0     2    0    2   6   2  s   A2'  575     0     0     0     0    0    0   6   0  a   A2"    3 17BaPoYuTe.269
9824.00166  0.01  0.01     1     0     1     2    1    2   6   5  s    E" 1176     0     0     0     0    0    0   5   4  s    E'    2  17BaPoYuTe.62
9649.41691  0.01  0.01     1     0     1     2    1    2   6   5  s    E" 1176     0     0     0     0    0    0   6   1  a    E'    4  17BaPoYuTe.56
9678.77790  0.01  0.01     2     0     0     2    0    2   6   2  a   A2"  610     0     0     0     0    0    0   6   3  a   A2'    2 17BaPoYuTe.395
9779.23413  0.01  0.01     1     0     1     2    1    2   6   5  a    E' 1187     0     0     0     0    0    0   5   2  a    E"    3 17BaPoYuTe.177
9783.66331  0.01  0.01     2     0     0     2    0    2   6   1  s    E" 1178     0     0     0     0    0    0   5   2  s    E'    3 17BaPoYuTe.261
9787.48400  0.01  0.01     2     0     0     2    0    2   6   1  a    E' 1192     0     0     0     0    0    0   5   2  a    E"    3 17BaPoYuTe.391
9668.83024  0.01  0.01     2     0     0     2    0    2   6   1  a    E' 1192     0     0     0     0    0    0   6   2  a    E"    3 17BaPoYuTe.387
9538.12583  0.01  0.01     2     0     0     2    0    2   7   6  a    E" 1309     0     0     0     0    0    0   8   7  a    E'    2 17BaPoYuTe.407
9610.60306  0.01  0.01     1     0     1     2    1    2   6   4  a    E" 1185     0     0     0     0    0    0   7   5  a    E'    2 17BaPoYuTe.182
9703.08131  0.01  0.01     2     0     0     2    0    2   8   8  s    E' 1409     0     0     0     0    0    0   7   7  s    E"    1 17BaPoYuTe.301
9705.13681  0.01  0.01     2     0     0     2    0    2   8   8  a    E" 1403     0     0     0     0    0    0   7   7  a    E'    1 17BaPoYuTe.423
9586.07555  0.01  0.01     2     0     1     0    1    0   6   3  s    E" 1191     0     0     0     0    0    0   7   4  s    E'    3 17BaPoYuTe.488
9843.46249  0.01  0.01     2     0     1     0    1    0   6   3  s    E" 1191     0     0     0     0    0    0   5   4  s    E'    2 17BaPoYuTe.496
9724.53543  0.01  0.01     2     0     1     0    1    0   6   3  s    E" 1191     0     0     0     0    0    0   6   4  s    E'    2 17BaPoYuTe.491
9729.95451  0.01  0.01     2     0     0     2    0    2   7   5  a    E' 1310     0     0     0     0    0    0   6   4  a    E"    2 17BaPoYuTe.410
9808.16862  0.01  0.01     1     0     1     2    1    2   6   4  s    E' 1205     0     0     0     0    0    0   5   2  a    E"    3  17BaPoYuTe.61
