        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"           E'        Calc'  Obs-Calc'   ErrByte         Source Method  BandMatch
9659.82658  0.01  0.01     2     0     1     0    1    0   1   0  a    E"  276     0     0     0     0    0    0   2   1  a    E'    2  9716.535807  9720.465447  -3.929640  4.192976 17BaPoYuTe.540     Br      False
9707.90030  0.01  0.01     1     0     1     2    1    2   0   0  s    E'   96     0     0     0     0    0    0   1   1  s    E"    1  9724.073293  9719.687842   4.385451 -1.363104   17BaPoYuTe.1     Br      False
9709.68289  0.01  0.01     1     0     1     2    1    2   0   0  a    E"   86     0     0     0     0    0    0   1   1  a    E'    1  9726.646246  9722.294502   4.351744 -3.225047 17BaPoYuTe.101     Br      False
9618.94083  0.01  0.01     2     0     1     0    1    0   2   2  s    E'  452     0     0     0     0    0    0   3   1  s    E"    2  9734.477461  9734.341192   0.136269  4.954339 17BaPoYuTe.445     CD       True
9678.54041  0.01  0.01     2     0     1     0    1    0   2   2  s    E'  452     0     0     0     0    0    0   2   1  s    E"    2  9734.479143  9734.341192   0.137951  4.955195 17BaPoYuTe.449     CD       True
9718.30646  0.01  0.01     2     0     1     0    1    0   2   2  s    E'  452     0     0     0     0    0    0   1   1  s    E"    1  9734.479453  9734.341192   0.138261  4.955013 17BaPoYuTe.452     CD       True
9691.38996  0.01  0.01     1     0     1     2    1    2   1   1  a    E'  270     0     0     0     0    0    0   2   2  a    E"    1  9736.977240  9733.288401   3.688839 -3.880501 17BaPoYuTe.106     Br      False
9681.38689  0.01  0.01     2     0     1     0    1    0   2   2  a    E"  445     0     0     0     0    0    0   2   1  a    E'    2  9738.096117  9735.149119   2.946998  3.150909 17BaPoYuTe.544     Br       True
9652.32990  0.01  0.01     2     0     1     0    1    0   2   2  a   A2"  240     0     0     0     0    0    0   3   3  a   A2'    1  9738.987703  9740.324872  -1.337169  2.971309 17BaPoYuTe.546     Br      False
9546.29240  0.01  0.01     2     0     0     2    0    2   3   2  s    E'  614     0     0     0     0    0    0   4   1  s    E"    3  9741.198757  9740.794939   0.403818  4.450308 17BaPoYuTe.227     CD       True
9685.26038  0.01  0.01     2     0     0     2    0    2   3   2  s    E'  614     0     0     0     0    0    0   2   1  s    E"    2  9741.199113  9740.794939   0.404174  4.448582 17BaPoYuTe.233     CD       True
9625.66270  0.01  0.01     2     0     0     2    0    2   3   2  s    E'  614     0     0     0     0    0    0   3   1  s    E"    2  9741.199331  9740.794939   0.404392  4.449626 17BaPoYuTe.230     CD       True
9687.87107  0.01  0.01     2     0     0     2    0    2   3   2  a    E"  622     0     0     0     0    0    0   2   1  a    E'    2  9744.580297  9741.117285   3.463012  1.739432 17BaPoYuTe.351     Br       True
9628.95849  0.01  0.01     2     0     1     0    1    0   2   1  s   A2"  242     0     0     0     0    0    0   3   0  s   A2'    2  9748.196349  9748.005387   0.190962  5.206448 17BaPoYuTe.446     CD       True
9728.30652  0.01  0.01     2     0     1     0    1    0   2   1  s   A2"  242     0     0     0     0    0    0   1   0  s   A2'    1  9748.196406  9748.005387   0.191019  5.205153 17BaPoYuTe.453     CD       True
9643.97753  0.01  0.01     2     0     1     0    1    0   2   1  s    E"  447     0     0     0     0    0    0   3   2  s    E'    1  9748.399618  9746.330703   2.068915  5.366618 17BaPoYuTe.448     CD       True
9703.61061  0.01  0.01     2     0     1     0    1    0   2   1  s    E"  447     0     0     0     0    0    0   2   2  s    E'    1  9748.406588  9746.330703   2.075885  5.372824 17BaPoYuTe.451     CD       True
9732.57190  0.01  0.01     1     0     1     2    1    2   1   0  a    E"  283     0     0     0     0    0    0   1   1  a    E'    1  9749.535256  9750.205354  -0.670098 -3.038117 17BaPoYuTe.104     CD      False
9692.82895  0.01  0.01     1     0     1     2    1    2   1   0  a    E"  283     0     0     0     0    0    0   2   1  a    E'    2  9749.538177  9750.205354  -0.667177 -3.034625 17BaPoYuTe.102     CD      False
9735.11989  0.01  0.01     2     0     1     0    1    0   2   0  s    E'  460     0     0     0     0    0    0   1   1  s    E"    1  9751.292883  9751.511349  -0.218466  4.096027 17BaPoYuTe.454     CD       True
9695.35434  0.01  0.01     2     0     1     0    1    0   2   0  s    E'  460     0     0     0     0    0    0   2   1  s    E"    2  9751.293073  9751.511349  -0.218276  4.096709 17BaPoYuTe.450     CD       True
9635.76087  0.01  0.01     2     0     1     0    1    0   2   0  s    E'  460     0     0     0     0    0    0   3   1  s    E"    2  9751.297501  9751.511349  -0.213848  4.101963 17BaPoYuTe.447     CD       True
9646.29063  0.01  0.01     2     0     1     0    1    0   2   1  a    E'  460     0     0     0     0    0    0   3   2  a    E"    1  9751.474385  9751.511349  -0.036964  2.674789 17BaPoYuTe.545     Br      False
9708.32799  0.01  0.01     1     0     1     2    1    2   1   1  s    E"  284     0     0     0     0    0    0   2   2  s    E'    1  9753.123968  9753.211187  -0.087219 -0.162359   17BaPoYuTe.4     Br      False
9667.12475  0.01  0.01     2     0     0     2    0    2   3   2  a   A2"  294     0     0     0     0    0    0   3   3  a   A2'    1  9753.782553  9753.740681   0.041872  1.121731 17BaPoYuTe.348     CD       True
9587.69475  0.01  0.01     2     0     0     2    0    2   3   2  a   A2"  294     0     0     0     0    0    0   4   3  a   A2'    1  9753.782653  9753.740681   0.041972  1.123030 17BaPoYuTe.345     CD       True
9738.22708  0.01  0.01     2     0     1     0    1    0   2   0  a    E"  450     0     0     0     0    0    0   1   1  a    E'    1  9755.190436  9755.006649   0.183787  2.676906 17BaPoYuTe.543     CD      False
9698.48143  0.01  0.01     2     0     1     0    1    0   2   0  a    E"  450     0     0     0     0    0    0   2   1  a    E'    2  9755.190657  9755.006649   0.184008  2.677698 17BaPoYuTe.542     CD      False
9735.96619  0.01  0.01     1     0     1     2    1    2   1   1  s   A2"  122     0     0     0     0    0    0   1   0  s   A2'    1  9755.856076  9754.550757   1.305319 -0.326455   17BaPoYuTe.5     Br      False
9712.93638  0.01  0.01     1     0     1     2    1    2   1   0  s    E'  275     0     0     0     0    0    0   2   2  a    E"    1  9758.523660  9758.775184  -0.251524 -0.421085   17BaPoYuTe.2     CD      False
9742.35317  0.01  0.01     1     0     1     2    1    2   1   0  s    E'  275     0     0     0     0    0    0   1   1  s    E"    1  9758.526163  9758.775184  -0.249021 -0.419178   17BaPoYuTe.3     CD      False
9639.57105  0.01  0.01     2     0     0     2    0    2   3   1  s   A2"  295     0     0     0     0    0    0   3   0  s   A2'    2  9758.808909  9758.340426   0.468483  4.629186 17BaPoYuTe.226     Br       True
9758.97510  0.01  0.01     1     0     1     2    1    2   1   1  a   A2'  159     0     0     0     0    0    0   0   0  a   A2"    1  9759.768503  9759.799352  -0.030849 -3.150192 17BaPoYuTe.105   CD_b      False
9699.36253  0.01  0.01     1     0     1     2    1    2   1   1  a   A2'  159     0     0     0     0    0    0   2   0  a   A2"    1  9759.775548  9759.799352  -0.023804 -3.142286 17BaPoYuTe.103   CD_b      False
9579.74228  0.01  0.01     2     0     0     2    0    2   3   1  s    E"  626     0     0     0     0    0    0   4   2  s    E'    2  9763.571391  9763.118859   0.452532  5.701914 17BaPoYuTe.229     CD       True
9659.15008  0.01  0.01     2     0     0     2    0    2   3   1  s    E"  626     0     0     0     0    0    0   3   2  s    E'    1  9763.572168  9763.118859   0.453309  5.701510 17BaPoYuTe.232     CD       True
9718.77695  0.01  0.01     2     0     0     2    0    2   3   1  s    E"  626     0     0     0     0    0    0   2   2  s    E'    1  9763.572928  9763.118859   0.454069  5.701506 17BaPoYuTe.235     CD       True
9579.50138  0.01  0.01     2     0     0     2    0    2   3   1  a    E'  617     0     0     0     0    0    0   4   2  a    E"    2  9764.054437  9764.032155   0.022282  0.456777 17BaPoYuTe.344     CD       True
9718.46836  0.01  0.01     2     0     0     2    0    2   3   1  a    E'  617     0     0     0     0    0    0   2   2  a    E"    1  9764.055640  9764.032155   0.023485  0.455782 17BaPoYuTe.350     CD       True
9658.87208  0.01  0.01     2     0     0     2    0    2   3   1  a    E'  617     0     0     0     0    0    0   3   2  a    E"    1  9764.055835  9764.032155   0.023680  0.456856 17BaPoYuTe.347     CD       True
9598.89330  0.01  0.01     2     0     0     2    0    2   4   4  s   A2'  374     0     0     0     0    0    0   4   3  s   A2"    1  9764.224402  9762.469945   1.754457  3.949399 17BaPoYuTe.240     Br       True
9709.70509  0.01  0.01     2     0     0     2    0    2   3   0  s    E'  618     0     0     0     0    0    0   2   1  s    E"    2  9765.643823  9765.119211   0.524612  5.796729 17BaPoYuTe.234     CD       True
9570.73871  0.01  0.01     2     0     0     2    0    2   3   0  s    E'  618     0     0     0     0    0    0   4   1  s    E"    3  9765.645067  9765.119211   0.525856  5.800055 17BaPoYuTe.228     CD       True
9650.10891  0.01  0.01     2     0     0     2    0    2   3   0  s    E'  618     0     0     0     0    0    0   3   1  s    E"    2  9765.645541  9765.119211   0.526330  5.799273 17BaPoYuTe.231     CD       True
9709.04319  0.01  0.01     2     0     0     2    0    2   3   0  a    E"  627     0     0     0     0    0    0   2   1  a    E'    2  9765.752417  9765.669547   0.082870  0.385895 17BaPoYuTe.349     CD       True
9649.47541  0.01  0.01     2     0     0     2    0    2   3   0  a    E"  627     0     0     0     0    0    0   3   1  a    E'    2  9765.753705  9765.669547   0.084158  0.388118 17BaPoYuTe.346     CD       True
