Line Uncertainty Uncertainty' Ratio
22CaCeVaCa.3999	1.000e-5	1.229e-4	12.29355	
22CaCeVaCaa.4853	4.000e-5	4.855e-4	12.13813	
22CaCeVaCaa.3443	1.000e-5	1.208e-4	12.07858	
23CaCeVo.1495	4.500e-5	5.388e-4	11.97288	
22CaCeVaCa.4061	1.000e-5	1.192e-4	11.91702	
22CaCeVaCa.1194	2.000e-5	2.354e-4	11.77242	
22CaCeVaCa.3783	6.000e-5	7.058e-4	11.76352	
22CaCeVaCaa.3001	1.200e-4	1.411e-3	11.75426	
22CaCeVaCa.3505	1.000e-5	1.172e-4	11.72107	
22CaCeVaCaa.2493	1.200e-4	1.400e-3	11.66552	
23CaCeVo.790	4.500e-5	5.244e-4	11.65271	
22CaCeVaCaa.1762	1.200e-4	1.397e-3	11.63966	
22CaCeVaCa.3692	2.000e-5	2.314e-4	11.57036	
23CaCeVo.2016	4.500e-5	5.173e-4	11.49537	
23CaCeVo.2326	4.000e-5	4.564e-4	11.41011
10YuPeDrSu.77	3.300e-6	7.421e-5	22.48827	
22CaCeVaCa.3078	3.000e-5	6.152e-4	20.50779	
22CaCeVaCaa.3530	9.000e-5	1.224e-3	13.60550	
22CaCeVaCaa.5925	5.000e-5	6.340e-4	12.68042	
23CaCeVo.3241	2.100e-5	2.648e-4	12.60766	
22CaCeVaCa.653	2.000e-5	2.488e-4	12.43983	
22CaCeVaCa.149	2.000e-5	2.420e-4	12.10012	
22CaCeVaCaa.4023	5.000e-5	5.799e-4	11.59818	
22CaCeVaCa.2164	6.000e-5	6.759e-4	11.26479	
95KlTaBr.1366	4.000e-4	4.469e-3	11.17299	
22CaCeVaCaa.4935	5.000e-5	5.509e-4	11.01738	
22CaCeVaCa.3773	1.000e-5	1.101e-4	11.00782	
22CaCeVaCa.3083	1.400e-4	1.526e-3	10.90234	
22HuSuTo.537	1.000e-3	1.064e-2	10.64029	
22HuSuTo.403	1.000e-3	1.059e-2	10.59286	
22CaCeVaCaa.2311	4.000e-5	4.202e-4	10.50397	
22CaCeVaCa.676	6.000e-5	6.297e-4	10.49436	
22CaCeVaCa.1776	1.400e-4	1.463e-3	10.45153	
22CaCeVaCa.11	1.400e-4	1.462e-3	10.44289	
22CaCeVaCaa.598	1.100e-4	1.134e-3	10.30605	
89UrTuRaGu.221	9.000e-5	9.027e-4	10.02952	
22CaCeVaCaa.2068	1.100e-4	1.098e-3	9.98373	
22CaCeVaCa.4191	1.000e-5	9.980e-5	9.98034	
22CaCeVaCaa.1349	1.100e-4	1.094e-3	9.94462	
10YuPeDrSu.129	1.700e-6	1.690e-5	9.93832	
22CaCeVaCa.3729	1.000e-5	9.913e-5	9.91294	
22CaCeVaCaa.5633	1.500e-4	1.469e-3	9.79264	
22HuSuTo.1000	1.000e-3	9.745e-3	9.74487	
22CaCeVaCaa.3506	1.500e-4	1.454e-3	9.69502	
22CaCeVaCa.2785	1.000e-5	9.685e-5	9.68450	
84UrCuNaPa.704	2.355e-4	2.262e-3	9.60590	
22CaCeVaCa.5917	1.000e-5	9.569e-5	9.56889	
21CeCaCo.530	5.000e-4	4.730e-3	9.45984	
22CaCeVaCaa.2805	1.100e-4	1.032e-3	9.37825	
22HuSuTo.722	1.000e-3	9.280e-3	9.27986	
22CaCeVaCaa.5059	1.100e-4	1.018e-3	9.25821	
22HuSuTo.1171	1.000e-3	9.250e-3	9.24988	
22CaCeVaCaa.5319	1.700e-4	1.558e-3	9.16400	
22CaCeVaCaa.2048	1.700e-4	1.555e-3	9.14971	
22CaCeVaCaa.4805	1.700e-4	1.554e-3	9.14137	
22CaCeVaCaa.726	1.000e-5	9.066e-5	9.06612	
22CaCeVaCaa.6231	1.100e-4	9.868e-4	8.97062	
22HuSuTo.739	1.000e-3	8.891e-3	8.89140	
10YuPeDrSu.130	1.700e-6	1.494e-5	8.78532	
23CaCeVo.858	3.000e-5	2.635e-4	8.78280	
21CeCaCo.96	5.000e-4	4.362e-3	8.72355	
22HuSuTo.1415	1.000e-3	8.703e-3	8.70290	
23CaCeVo.2884	2.500e-5	2.157e-4	8.62790	
23CaCeVo.3313	1.000e-5	8.600e-5	8.60007	
